"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10230536550,"CBD Content","Other cannabinoids and terpenes","THCa"
10230517511,"Format (flower, vape, edibles, etc)","Quality","CBD Content"
10230506284,"THC Content","CBD Content","Other cannabinoids and terpenes"
10230410378,"CBD Content","Quality","Cost/Price"
10230399786,"CBD Content","Cost/Price","Quality"
10230353468,"CBD Content","THC Content","Other cannabinoids and terpenes"
10230334342,"Cost/Price","Format (flower, vape, edibles, etc)","Quality"
10230318306,"CBD Content","CBDa","THCa"
10230315461,"THC Content","CBD Content","Favorite Strain"
10230283776,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10230255552,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10230246660,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10230236662,"CBD Content","THC Content","Cost/Price"
10230235893,"CBDa","THCa","Other cannabinoids and terpenes"
10230167859,"THC Content","CBD Content","Cost/Price"
10230141012,"CBD Content","Other cannabinoids and terpenes","Quality"
10229975238,"CBD Content","THC Content","Quality"
10229956995,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10229949182,"THC Content","CBD Content",""
10229940300,"Cost/Price","CBD Content","THC Content"
10229924394,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10229917580,"THC Content","CBD Content","Quality"
10229888050,"Quality","THC Content","Format (flower, vape, edibles, etc)"
10229872745,"Favorite Strain","CBD Content",""
10229855762,"Favorite Strain","Quality","Other cannabinoids and terpenes"
10229839162,"CBD Content","THC Content","Favorite Strain"
10229765765,"THC Content","CBD Content","Cost/Price"
10229755208,"CBD Content","THC Content","Quality"
10229706080,"CBD Content","THC Content",""
10229687684,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10229685334,"Format (flower, vape, edibles, etc)","Favorite Strain","Cost/Price"
10229670320,"Format (flower, vape, edibles, etc)","Favorite Strain","CBD Content"
10229666678,"CBD Content","THC Content","Other cannabinoids and terpenes"
10229649057,"Quality","Cost/Price","Other cannabinoids and terpenes"
10229649053,"CBD Content","THC Content","Quality"
10229631055,"Cost/Price","CBD Content","THC Content"
10229628331,"Cost/Price","THC Content","Quality"
10229623103,"THC Content","Other cannabinoids and terpenes","Quality"
10229590537,"Format (flower, vape, edibles, etc)","THC Content","Other cannabinoids and terpenes"
10229526159,"THCa","CBDa","Other cannabinoids and terpenes"
10229502714,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10229491086,"Favorite Strain","Quality","Cost/Price"
10229490194,"THC Content","CBD Content","Quality"
10229482517,"CBD Content","Other cannabinoids and terpenes","THC Content"
10229477413,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10229467510,"Quality","Favorite Strain","Other cannabinoids and terpenes"
10229467101,"CBD Content","Cost/Price","Quality"
10229414081,"Favorite Strain","Quality","CBD Content"
10229403521,"THC Content","CBD Content","Quality"
10229400598,"CBD Content","THC Content","Other cannabinoids and terpenes"
10229396846,"CBD Content","THC Content","Quality"
10229370437,"THC Content","CBD Content","Other cannabinoids and terpenes"
10229359369,"CBD Content","THC Content","Other cannabinoids and terpenes"
10229357731,"Cost/Price","Format (flower, vape, edibles, etc)","Quality"
10229350099,"THC Content","Cost/Price","Other cannabinoids and terpenes"
10229334562,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10229334166,"CBD Content","THC Content","Favorite Strain"
10229306258,"Quality","CBD Content","THCa"
10229304615,"Quality","THC Content","Other cannabinoids and terpenes"
10229300055,"CBD Content","THC Content","Other cannabinoids and terpenes"
10229291368,"Quality","Other cannabinoids and terpenes","Cost/Price"
10229281307,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10226660268,"THC Content","CBDa","CBD Content"
10224212235,"THC Content","CBD Content","Cost/Price"
10223907822,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10223638652,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10221468980,"THC Content","Favorite Strain","Cost/Price"
10219430081,"Quality","Favorite Strain","Cost/Price"
10218514481,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10213810911,"Cost/Price","Quality","THC Content"
10213685358,"Quality","Cost/Price","Other cannabinoids and terpenes"
10213102321,"Favorite Strain","THC Content","Quality"
10210751776,"THC Content","Cost/Price","Quality"
10210067913,"CBD Content","THC Content","Quality"
10208286844,"Format (flower, vape, edibles, etc)","Quality","THC Content"
10203196565,"THC Content","",""
10199260945,"CBD Content","Cost/Price","Quality"
10198838490,"Other cannabinoids and terpenes","THC Content","CBD Content"
10198548060,"THC Content","Quality","Cost/Price"
10198229092,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10196676245,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10195755785,"THC Content","CBD Content","Cost/Price"
10194494769,"THC Content","CBD Content","Quality"
10194157007,"Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)","Quality"
10193457250,"Quality","THC Content","Cost/Price"
10192853887,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
