"response","count","percent_responded"
".5 mL or less",31,41.89
"1 mL",11,14.86
"1.1 -3 mL",10,13.51
"3.1 - 6 mL",8,10.81
"6.1 - 8 mL",7,9.46
"14.1 mL or more",4,5.41
"8.1- 14 mL",3,4.05
