"response","count","percent_responded"
"Jack Frost",3,2.38
"Sour Diesel",3,2.38
"Star Dawg",3,2.38
"Black mamba",2,1.59
"Gelato",2,1.59
"GG #4",2,1.59
"GG#4",2,1.59
"GSC",2,1.59
"Lemon Meringue ",2,1.59
"Meltdown ",2,1.59
"Mr clean",2,1.59
"Purple Lamborghini",2,1.59
"Star dawg",2,1.59
"¯\_(ツ)_/¯ ",1,0.79
"Af",1,0.79
"All",1,0.79
"Billy Kimber",1,0.79
"Black",1,0.79
"black mamba",1,0.79
"black maria",1,0.79
"Blubetty",1,0.79
"Blue dream",1,0.79
"Blue dream ",1,0.79
"Blueberry",1,0.79
"Blueberry dream",1,0.79
"Bootylicious",1,0.79
"Bruce Banner",1,0.79
"Candymam ",1,0.79
"Cantelope haze",1,0.79
"CBD Yummy",1,0.79
"Cheese",1,0.79
"Chocolate Oranges #4",1,0.79
"Chuck og",1,0.79
"Chuck OG",1,0.79
"Cinderella 99",1,0.79
"Clementine",1,0.79
"Cookies and cream",1,0.79
"Cookies and Cream",1,0.79
"Doc Tonic ",1,0.79
"double black domina",1,0.79
"double black mombo",1,0.79
"Extreme cream",1,0.79
"facewreck",1,0.79
"Facewreck",1,0.79
"G88 (? a Sira strain I had months ago)",1,0.79
"Gg",1,0.79
"gg4",1,0.79
"GG4",1,0.79
"girl scout cookie",1,0.79
"Girl Scout cookie",1,0.79
"girl scout cookies",1,0.79
"Girl Scout Cookies",1,0.79
"Gorilla glue",1,0.79
"Gorilla Glue",1,0.79
"Grand daddy purp",1,0.79
"Grape God",1,0.79
"Gsc",1,0.79
"Have one",1,0.79
"Headband",1,0.79
"Highway",1,0.79
"Highwayman",1,0.79
"Houseblend ",1,0.79
"Hurkel ",1,0.79
"Indica",1,0.79
"Jack",1,0.79
"Kt dawg",1,0.79
"KT Dawg",1,0.79
"Kush",1,0.79
"lamborghini purple ",1,0.79
"Lambs Dew",1,0.79
"Lemon",1,0.79
"Lemon Haze",1,0.79
"Lemon skunk",1,0.79
"Lemon venom",1,0.79
"Lemon WalkerLemon Walker",1,0.79
"Lemone morrange",1,0.79
"Lite sabor (?)",1,0.79
"Mango kush",1,0.79
"MELTDOWN",1,0.79
"mimosa",1,0.79
"Moonrise",1,0.79
"MR. CLEAN",1,0.79
"n/a",1,0.79
"N/A",1,0.79
"Ninja",1,0.79
"nut butters",1,0.79
"OG Kush CBD",1,0.79
"Pineapple Express",1,0.79
"pineappple express",1,0.79
"Purple dawg",1,0.79
"Purple dog",1,0.79
"Purple haze",1,0.79
"Purple Lamberghini",1,0.79
"Purple Lamborghini ",1,0.79
"Purple Lamborgini",1,0.79
"Purple Punch",1,0.79
"Silver haze",1,0.79
"Skywalker Kush",1,0.79
"Sour Diesel and hybrids",1,0.79
"Stardawg",1,0.79
"Sunset Sherbet ",1,0.79
"Sweet Tooth",1,0.79
"Sweet tooth ",1,0.79
"Sweetooth",1,0.79
"Tangie",1,0.79
"Tangie ",1,0.79
"Tangie 2:1",1,0.79
"theres to many to choose from ",1,0.79
"UltraDank50K-Platinum+",1,0.79
"VYB Peak",1,0.79
