"","V1"
"q8_mean",6.35
"q9_mean",6.06
"q10_mean",4.154
"q11_mean",8.62
"q12_mean",3.442
"q21_mean",7.74
"q33_mean",168.153
"q46_mean",18.857
"q53_mean",106.173
"q54_mean",70.776
