"response","count","percent_responded"
"Sour Diesel",15,2.08
"Blue Dream",14,1.94
"Sour diesel",11,1.53
"Blue dream",9,1.25
"Jack Herer",8,1.11
"Sativa",8,1.11
"Bruce Banner",7,0.97
"GG#4",7,0.97
"Northern Lights",7,0.97
"Gorilla Glue",6,0.83
"Green crack",6,0.83
"Indica",6,0.83
"Tangie",6,0.83
"GG4",5,0.69
"Sour diesel ",5,0.69
"Trainwreck",5,0.69
"White Widow",5,0.69
"ACDC",4,0.56
"Chocolope",4,0.56
"Double Black Domina",4,0.56
"Gg4",4,0.56
"Girl Scout Cookie",4,0.56
"Gorilla glue",4,0.56
"Granddaddy Purple",4,0.56
"Lemon Jeffrey",4,0.56
"Northern lights",4,0.56
"Sweet Tooth",4,0.56
"?",3,0.42
"blue dream",3,0.42
"Blue dream ",3,0.42
"Blueberry",3,0.42
"Bubba Kush",3,0.42
"Buddha's Sister",3,0.42
"Cheese",3,0.42
"Chemdawg",3,0.42
"Cinderella 99",3,0.42
"Durban Poison",3,0.42
"Flo",3,0.42
"GDP",3,0.42
"GG",3,0.42
"Green Crack",3,0.42
"GSC",3,0.42
"Lemon Jeffery",3,0.42
"Lemon meringue",3,0.42
"Meltdown",3,0.42
"Moonrise",3,0.42
"n/a",3,0.42
"Og kush",3,0.42
"OG Kush",3,0.42
"sativa",3,0.42
"Skywalker Kush",3,0.42
"Super Lemon Haze",3,0.42
"Tangerine Haze",3,0.42
"Bio Diesel",2,0.28
"Black Mamba",2,0.28
"Blissful Wizard",2,0.28
"Blue OG",2,0.28
"Cannatonic",2,0.28
"Chocolate Oranges",2,0.28
"Cookie Pebbles",2,0.28
"don't know",2,0.28
"Durban poison",2,0.28
"Fire OG",2,0.28
"Flo OG",2,0.28
"gg",2,0.28
"Gg",2,0.28
"Gg#4",2,0.28
"Ghost Train Haze",2,0.28
"Girl scout cookie",2,0.28
"Girl Scout Cookies",2,0.28
"Golden Goat",2,0.28
"Gorilla Glue #4",2,0.28
"Granddaddy purple",2,0.28
"Grape god",2,0.28
"Grape God",2,0.28
"green crack",2,0.28
"Hawaiian Spice",2,0.28
"Headband",2,0.28
"Hybrid",2,0.28
"Kush",2,0.28
"Lambs bread",2,0.28
"Las Vegas Bubba Kush",2,0.28
"Lemon ",2,0.28
"Lemon Jeffrey ",2,0.28
"Lemon Meringue",2,0.28
"Lemon meringue ",2,0.28
"Lemon Meringue ",2,0.28
"Meltdown ",2,0.28
"Mimosa",2,0.28
"Mr. Clean",2,0.28
"N/a",2,0.28
"na",2,0.28
"Night Nurse",2,0.28
"og kush",2,0.28
"Sour D",2,0.28
"Sour Tangie",2,0.28
"Star 91 #8",2,0.28
"Strawberry Cough",2,0.28
"Strawberry Fields",2,0.28
"Strawberry Pebbles",2,0.28
" Gorilla cookies",1,0.14
