"","V1"
"q8_mean",5.83
"q9_mean",5.52
"q10_mean",3.45
"q11_mean",8.73
"q12_mean",2.983
"q21_mean",5.69
"q33_mean",73.703
"q46_mean",24.061
"q53_mean",70.709
"q54_mean",69.784
