"response","count","percent_responded"
"THC Content",176,24.41
"Cost/Price",139,19.28
"Quality",135,18.72
"CBD Content",92,12.76
"Format (flower, vape, edibles, etc)",72,9.99
"Favorite Strain",47,6.52
"Other cannabinoids and terpenes",37,5.13
"THCa",17,2.36
"CBDa",6,0.83
