"","V1"
"q8_mean",6.43
"q9_mean",6.31
"q10_mean",3.954
"q11_mean",9.11
"q12_mean",3.369
"q21_mean",5.45
"q33_mean",135.105
"q46_mean",13.008
"q53_mean",112.767
"q54_mean",66.662
