Q#93,What is your current employment status?,
,,
response,count,percent_all
Retired,148,26.19%
Unable to work,133,23.54%
Employed full time (40 or more hours per week),126,22.30%
Unemployed and currently looking for work,41,7.26%
Employed part time (up to 39 hours per week),39,6.90%
Student,28,4.96%
Self-employed,23,4.07%
Unemployed and not currently looking for work,21,3.72%
Homemaker,6,1.06%
