"","V1"
"q8_mean",6.02
"q9_mean",6.08
"q10_mean",3.613
"q11_mean",8.95
"q12_mean",3.108
"q21_mean",3.9
"q33_mean",100.751
"q46_mean",18.59
"q53_mean",95.133
"q54_mean",62.86
