"","V1"
"q8_mean",3.33
"q9_mean",4.67
"q10_mean",2
"q11_mean",8.33
"q12_mean",2.667
"q21_mean",1.62
"q33_mean",28.75
"q46_mean",15.375
"q53_mean",35
"q54_mean",65.875
