"""What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?""",,,,,,,
,,,,,,,
Respondent ID,Open-Ended Response,,,,,Average =,72.37810945
10575849400,100,,,,,,
11006369538,100,,,,,,
10883497633,100,,,,,,
10658649988,100,,,,,,
10699810522,100,,,,,,
10661330404,100,,,,,,
10607782752,100,,,,,,
10830786742,100,,,,,,
11245529294,100,,,,,,
11250741921,100,,,,,,
10658550964,100,,,,,,
10868495105,100,,,,,,
10876100377,100,,,,,,
10875993925,100,,,,,,
11138361963,100,,,,,,
11186271761,100,,,,,,
10978063065,100,,,,,,
11137652132,100,,,,,,
10880798060,100,,,,,,
10576876213,100,,,,,,
10660294275,100,,,,,,
10726117373,100,,,,,,
11003496788,100,,,,,,
10597419828,100,,,,,,
10875503972,100,,,,,,
10667384024,100,,,,,,
10842274754,100,,,,,,
10875526461,100,,,,,,
10875458883,100,,,,,,
10923325388,100,,,,,,
10762649964,100,,,,,,
11166535497,100,,,,,,
10878751296,100,,,,,,
11166390085,100,,,,,,
10581447651,100,,,,,,
10877788133,100,,,,,,
10878214093,100,,,,,,
10591451425,100,,,,,,
10691181667,100,,,,,,
10585520406,100,,,,,,
11135054998,100,,,,,,
10764443236,100,,,,,,
10867323115,100,,,,,,
10876876072,100,,,,,,
11027692007,100,,,,,,
10877565497,100,,,,,,
10667369837,100,,,,,,
11061509902,100,,,,,,
10595615049,100,,,,,,
11105188699,100,,,,,,
10716518478,100,,,,,,
10658774056,100,,,,,,
10581933788,100,,,,,,
11091792560,100,,,,,,
10877194985,100,,,,,,
10767176517,100,,,,,,
10598255910,100,,,,,,
10893948558,100,,,,,,
10584760225,100,,,,,,
11161813510,100,,,,,,
10875507777,100,,,,,,
11072705197,100,,,,,,
10875530570,100,,,,,,
10965547652,100,,,,,,
10875467061,100,,,,,,
11208627585,100,,,,,,
11213907729,100,,,,,,
10602936383,100,,,,,,
11062634752,100,,,,,,
10662496256,100,,,,,,
10624147163,100,,,,,,
10974437681,100,,,,,,
11170278059,100,,,,,,
10719755952,100,,,,,,
11044680699,100,,,,,,
10860535252,100,,,,,,
10875511603,100,,,,,,
11215609540,100,,,,,,
10667907917,100,,,,,,
11134769709,100,,,,,,
10579927077,100,,,,,,
11241251752,100,,,,,,
10685117930,100,,,,,,
11132638848,100,,,,,,
10874749577,100,,,,,,
11212805644,100,,,,,,
10760373939,100,,,,,,
10660833205,100,,,,,,
10855896441,100,,,,,,
10867810520,100,,,,,,
11100035804,100,,,,,,
10879062209,100,,,,,,
10859949104,100,,,,,,
11220644956,100,,,,,,
11138930846,100,,,,,,
11033502369,100,,,,,,
10889700541,100,,,,,,
10875700450,100,,,,,,
10870148985,100,,,,,,
10677560387,100,,,,,,
10675303210,100,,,,,,
10670361680,100,,,,,,
10605637047,100,,,,,,
10575479401,100,,,,,,
11166384877,99,,,,,,
10658580372,99,,,,,,
10977935510,99,,,,,,
11129003813,99,,,,,,
11222559871,99,,,,,,
10876392009,99,,,,,,
11042816472,99,,,,,,
10659841121,98,,,,,,
10665891738,98,,,,,,
11137541759,98,,,,,,
10802360410,98,,,,,,
10831158462,98,,,,,,
11057923056,97,,,,,,
10837914247,97,,,,,,
11170108737,96,,,,,,
11249871277,95,,,,,,
10875460020,91,,,,,,
10822727213,90,,,,,,
10604065323,90,,,,,,
10685325930,90,,,,,,
10875562577,89,,,,,,
10836382971,89,,,,,,
10622925288,86,,,,,,
10668597062,85,,,,,,
11151215837,85,,,,,,
10875617011,80,,,,,,
10877375002,75,,,,,,
10667425695,75,,,,,,
10875696093,75,,,,,,
10758753382,75,,,,,,
10978796014,75,,,,,,
10878422887,75,,,,,,
10867615622,70,,,,,,
10596131278,67,,,,,,
10658577550,65,,,,,,
10667398958,52,,,,,,
10956719648,52,,,,,,
10872582813,51,,,,,,
10668361624,51,,,,,,
11156698544,50,,,,,,
10877606410,50,,,,,,
10876510380,50,,,,,,
10626251939,50,,,,,,
10667384979,50,,,,,,
10856437127,50,,,,,,
10675097210,50,,,,,,
11037955315,50,,,,,,
10875473988,50,,,,,,
10833972658,48,,,,,,
10877416704,37,,,,,,
10677653881,33,,,,,,
11166997346,27,,,,,,
10684698263,25,,,,,,
10808168894,23,,,,,,
10888170961,19,,,,,,
10667582585,15,,,,,,
10868096498,15,,,,,,
11064342543,15,,,,,,
11138400653,15,,,,,,
11156548224,12,,,,,,
10669140575,10,,,,,,
10659241585,10,,,,,,
10598221024,10,,,,,,
10598122285,10,,,,,,
10800317244,10,,,,,,
10716623034,10,,,,,,
10671009796,9,,,,,,
10758288741,8,,,,,,
10875529110,6,,,,,,
10658741910,6,,,,,,
10882385979,5,,,,,,
11137625236,4,,,,,,
10583893598,4,,,,,,
11149744263,3,,,,,,
10823088016,2,,,,,,
11036310394,2,,,,,,
10867812743,1,,,,,,
11238077963,1,,,,,,
10749570344,1,,,,,,
10668103394,1,,,,,,
10885759801,0,,,,,,
10875462742,0,,,,,,
10668312322,0,,,,,,
10884768912,0,,,,,,
11246906361,0,,,,,,
11183903124,0,,,,,,
10681003613,0,,,,,,
10598306507,0,,,,,,
10831929904,0,,,,,,
11131514317,0,,,,,,
10991821033,0,,,,,,
10675806972,0,,,,,,
10682649508,0,,,,,,
11166474867,0,,,,,,
10600857474,0,,,,,,
10671862630,0,,,,,,
10580913646,0,,,,,,
