"response","count","percent_responded"
"MA",320,57.35
"CA",36,6.45
"ME",28,5.02
"FL",19,3.41
"AZ",13,2.33
"WA",13,2.33
"MD",10,1.79
"MI",10,1.79
"CT",9,1.61
"NH",9,1.61
"NY",8,1.43
"PA",8,1.43
"IL",6,1.08
"TX",6,1.08
"AL",5,0.9
"CO",5,0.9
"GA",5,0.9
"MT",5,0.9
"OR",5,0.9
"VT",4,0.72
"AK",3,0.54
"ND",3,0.54
"NV",3,0.54
"IN",2,0.36
"NC",2,0.36
"NJ",2,0.36
"NM",2,0.36
"OH",2,0.36
"RI",2,0.36
"UT",2,0.36
"VA",2,0.36
"AR",1,0.18
"DC",1,0.18
"HI",1,0.18
"IA",1,0.18
"ID",1,0.18
"MN",1,0.18
"MP",1,0.18
"OK",1,0.18
"WI",1,0.18
