"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11327669448,"","","","6-25 mg","","","","","","",""
10958082921,"","","","","","","","","","",""
10667060651,"","","","6-25 mg","","","","","","",""
10630387074,"","","","26 - 50 mg","","","","","","",""
10617352263,"","","","","","","","","","26 - 50 mg",""
10615607693,"","","","5 mg or less","","","","","","",""
10584635591,"","","","201 - 500 mg","","","","5 mg or less","","",""
10564977420,"","","","","","","","","","5 mg or less",""
10544586314,"","","","6-25 mg","","","","","","",""
10490532265,"","","","201 - 500 mg","","","","","","",""
10449781605,"","","","","","","","","","",""
10442910474,"","","","6-25 mg","","","","","","",""
10390735914,"","","","","","","","","","",""
10389539123,"","","","201 - 500 mg","","","","","","",""
10374356525,"","","","","","","","","","",""
10374354669,"","","","","","","","","","",""
10360477263,"","","","5 mg or less","","","","","","",""
10355975067,"","","","5 mg or less","","","","","","",""
10340127453,"","","","6-25 mg","","","","","","",""
10320895144,"","","","5 mg or less","","","","","","",""
10314764856,"","","","6-25 mg","","","","","","",""
10313637005,"","","","26 - 50 mg","","","","","","",""
10313041082,"","","","","","","","","","5 mg or less",""
10307731360,"","","","51 - 100 mg","","","","","","",""
10291238913,"","","","","","","","","","",""
10280513706,"","","","","","","","","","",""
10274419066,"","","","","","","","","","",""
10265706943,"","","","1001 or more mg","","","","","","",""
10260585584,"","","","","","","","","","",""
10256752506,"","","","","","","","","","",""
10256517627,"","","","","","","","","","",""
10256255317,"","","","101 - 200 mg","","","","","","",""
10253887260,"","","","101 - 200 mg","","","","","","",""
10253881475,"","","","","","","","","","",""
10246062891,"","","","","","","","","","",""
10243585697,"","","","","","","","","","",""
10240742122,"","","","6-25 mg","","","","","","",""
10235861140,"","","","5 mg or less","","","","","","",""
10234243108,"","","","6-25 mg","","","","","","",""
10233407885,"","","","51 - 100 mg","","","","","","",""
10232561621,"","","","5 mg or less","","","","","","",""
10232360437,"","","","","","","","","","",""
10232009660,"","","","","","","","","","",""
10230804869,"","","","5 mg or less","","","","","","",""
10230571912,"","","","51 - 100 mg","","","","","","",""
10230530276,"","","","6-25 mg","","","","","","",""
10230407442,"","","","","","","","","","",""
10230376575,"","","","5 mg or less","","","","","","",""
10229820907,"","","","","","","","","","",""
