"response","count","percent_responded"
"1/4 ounce (~7 grams)",22,20.18
"2-3 grams",19,17.43
"4-6 grams",18,16.51
"1 gram",17,15.6
"8 grams -1/2 ounce (~ 14 grams)",14,12.84
".5 grams or less",9,8.26
"15 grams - 1 ounce (~28 grams)",5,4.59
"More than 1 ounce",5,4.59
