"response","count","percent_responded"
"1/4 ounce (~7 grams)",186,22.09
"2-3 grams",173,20.55
"4-6 grams",153,18.17
"8 grams -1/2 ounce (~ 14 grams)",99,11.76
".5 grams or less",94,11.16
"1 gram",90,10.69
"15 grams - 1 ounce (~28 grams)",36,4.28
"More than 1 ounce",11,1.31
