"response","count","percent_responded"
"Quality",48,21.92
"Cost/Price",45,20.55
"THC Content",38,17.35
"Other cannabinoids and terpenes",29,13.24
"Format (flower, vape, edibles, etc)",27,12.33
"CBD Content",14,6.39
"Favorite Strain",11,5.02
"THCa",6,2.74
"CBDa",1,0.46
