"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10187862055,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10187399811,"Quality","THC Content","CBD Content"
10186789647,"THCa","CBD Content","Quality"
10185410224,"Cost/Price","CBD Content","Quality"
10184855403,"Other cannabinoids and terpenes","Quality","Format (flower, vape, edibles, etc)"
10183761350,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10180903610,"Favorite Strain","Quality","Other cannabinoids and terpenes"
10179092808,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10178573973,"Cost/Price","CBD Content","THC Content"
10177861134,"Favorite Strain","THC Content","Cost/Price"
10176860687,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10176582087,"THC Content","Cost/Price","Favorite Strain"
10176321017,"Cost/Price","THC Content","Quality"
10175275460,"THC Content","CBD Content","Quality"
10171829091,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10171532408,"Quality","CBD Content","Format (flower, vape, edibles, etc)"
10171522285,"THC Content","Format (flower, vape, edibles, etc)","Quality"
10168741975,"THC Content","Quality","Cost/Price"
10168633491,"THC Content","Quality","Cost/Price"
10168000728,"CBD Content","THC Content","Cost/Price"
10166774106,"Cost/Price","THC Content","Quality"
10166135661,"CBD Content","THC Content","Quality"
10166086781,"THC Content","Cost/Price","Quality"
10164915493,"Cost/Price","Other cannabinoids and terpenes","Quality"
10164798083,"Quality","CBD Content","Other cannabinoids and terpenes"
10158853744,"Quality","Cost/Price","THC Content"
10156521325,"THC Content","Quality","Cost/Price"
10156516032,"THC Content","Quality","Cost/Price"
10154763373,"Cost/Price","CBD Content","THC Content"
10153739906,"Cost/Price","Quality","THC Content"
10147185169,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
10145856040,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10145094441,"THC Content","Quality","Cost/Price"
10144588236,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10144506582,"THC Content","Cost/Price","Quality"
10143785163,"Cost/Price","Quality","CBD Content"
10143284849,"Other cannabinoids and terpenes","CBD Content","THC Content"
10143136866,"THC Content","Cost/Price","Quality"
10143088122,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10142731921,"Quality","Cost/Price","THC Content"
10142729007,"Quality","Cost/Price","THC Content"
10142701054,"THC Content","Cost/Price","Quality"
10142691158,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10142608773,"THC Content","Cost/Price","Quality"
10142600591,"Quality","Cost/Price","THC Content"
10140183753,"Other cannabinoids and terpenes","Cost/Price","Format (flower, vape, edibles, etc)"
10139061871,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10138940954,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10138761669,"Cost/Price","CBD Content","Other cannabinoids and terpenes"
10137267705,"CBD Content","THC Content","Quality"
10136882264,"THC Content","Quality","Favorite Strain"
10136711414,"Other cannabinoids and terpenes","Cost/Price","THC Content"
10134674468,"CBD Content","Favorite Strain","Quality"
10133620417,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10133282449,"THC Content","CBD Content","Cost/Price"
10132045124,"CBD Content","THC Content","Quality"
10131883157,"THC Content","Quality","Favorite Strain"
10131305406,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10131300085,"Cost/Price","THC Content","Quality"
10131242010,"Cost/Price","CBD Content","THC Content"
10131218652,"Quality","THC Content","Cost/Price"
10131195330,"Quality","THC Content","CBD Content"
10131192376,"Quality","THC Content","Cost/Price"
10130189844,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10130042878,"Cost/Price","Quality","THCa"
10129650193,"Cost/Price","Quality","THC Content"
10129519603,"THC Content","THCa","Favorite Strain"
10129421681,"THC Content","CBD Content","Quality"
10129349932,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10129124458,"Cost/Price","Format (flower, vape, edibles, etc)","CBD Content"
10128026830,"Quality","THC Content","CBD Content"
10127918275,"Cost/Price","THC Content","Other cannabinoids and terpenes"
10127868126,"THC Content","Cost/Price","CBD Content"
10127786477,"THC Content","CBD Content","Quality"
10127496364,"THC Content","CBD Content","Cost/Price"
10127475954,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10127389359,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10127359614,"THC Content","Quality","Cost/Price"
10127356809,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10127331399,"Cost/Price","THC Content","THCa"
10127257620,"THC Content","CBD Content","Quality"
10127236538,"THC Content","CBD Content","THCa"
10127228851,"Quality","THC Content","Format (flower, vape, edibles, etc)"
10127199021,"Cost/Price","Quality","THC Content"
10126315016,"Favorite Strain","Cost/Price","THC Content"
10125815925,"THC Content","CBD Content","Other cannabinoids and terpenes"
10125565226,"Format (flower, vape, edibles, etc)","Quality","Favorite Strain"
10125413527,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10125239383,"Quality","THC Content","Cost/Price"
10124476250,"Other cannabinoids and terpenes","THC Content","CBD Content"
10124310683,"Cost/Price","THC Content","CBD Content"
10124250123,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10124243132,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10124193021,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
10123305896,"THCa","THC Content","CBD Content"
10120946731,"Favorite Strain","CBDa","Other cannabinoids and terpenes"
10120474217,"Favorite Strain","Format (flower, vape, edibles, etc)","Cost/Price"
10120088047,"Cost/Price","Favorite Strain","THC Content"
10118791641,"CBD Content","Quality","Favorite Strain"
10117806489,"Cost/Price","Quality","THC Content"
10117478255,"CBD Content","THCa","Other cannabinoids and terpenes"
10116352346,"Quality","Cost/Price","THC Content"
10114997094,"THC Content","Quality","Cost/Price"
10114476888,"Format (flower, vape, edibles, etc)","CBD Content","Quality"
10114267357,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10113930337,"THC Content","",""
10113867776,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10113045616,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10113042932,"THC Content","Cost/Price","Other cannabinoids and terpenes"
10112212744,"THC Content","CBD Content","Other cannabinoids and terpenes"
10110366322,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10107266347,"THC Content","CBD Content","Other cannabinoids and terpenes"
10104860194,"CBDa","CBDa","Other cannabinoids and terpenes"
10104651807,"Quality","Other cannabinoids and terpenes","THC Content"
