"","V1"
"q8_mean",5.47
"q9_mean",5.46
"q10_mean",3.054
"q11_mean",8.34
"q12_mean",3.25
"q21_mean",3.25
"q33_mean",85.905
"q46_mean",20.5
"q53_mean",87.067
"q54_mean",60.852
