"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10229317169,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10229308968,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
10192602117,"THC Content","CBD Content","Cost/Price"
10167813084,"THC Content","Quality","Cost/Price"
10142639674,"THC Content","Quality","Cost/Price"
10134674468,"CBD Content","Favorite Strain","Quality"
10131302646,"CBD Content","Quality","Cost/Price"
10127300620,"Cost/Price","",""
10127177091,"Format (flower, vape, edibles, etc)","Favorite Strain","THC Content"
10124268487,"THC Content","Cost/Price","THC Content"
10113196949,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10112996557,"THC Content","Cost/Price","Favorite Strain"
10239175816,"Favorite Strain","Quality","Cost/Price"
10233094381,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10232232344,"CBD Content","THC Content","Quality"
10231913670,"CBD Content","THC Content","Other cannabinoids and terpenes"
10231412715,"CBD Content","THC Content","Quality"
10229872745,"Favorite Strain","CBD Content",""
10229324694,"THC Content","Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)"
10217744665,"CBD Content","Quality","Other cannabinoids and terpenes"
10180291383,"Quality","THC Content","Cost/Price"
10170370957,"THC Content","CBD Content","THCa"
10166791366,"THC Content","Cost/Price","Quality"
10165480771,"Format (flower, vape, edibles, etc)","Quality","THC Content"
10165361462,"Cost/Price","THC Content","CBD Content"
10164915493,"Cost/Price","Other cannabinoids and terpenes","Quality"
10163162820,"Quality","CBD Content","THC Content"
10155895979,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
10153507665,"CBD Content","THC Content","Other cannabinoids and terpenes"
10142608136,"THC Content","Cost/Price","Quality"
10131850082,"Cost/Price","CBDa","Quality"
10131678338,"Favorite Strain","THC Content","CBD Content"
10131229054,"Cost/Price","Quality","Favorite Strain"
10128005337,"CBD Content","Favorite Strain","Favorite Strain"
10127793457,"Quality","Cost/Price","CBD Content"
