"","V1"
"q8_mean",5.27
"q9_mean",5.34
"q10_mean",2.732
"q11_mean",8.57
"q12_mean",2.786
"q21_mean",2.39
"q33_mean",94.23
"q46_mean",20.425
"q53_mean",88.443
"q54_mean",66.546
