"response","count","percent_responded"
"Blue dream",4,2.47
"Gorilla glue",4,2.47
"GG #4",3,1.85
"Grape God",3,1.85
"Haze",3,1.85
"Blue Dream",2,1.23
"Cannatonic",2,1.23
"Chuck OG",2,1.23
"Durban Poison",2,1.23
"Gelato",2,1.23
"GG4",2,1.23
"Gorilla Glue",2,1.23
"Green Crack",2,1.23
"Indica",2,1.23
"lemon jeffrey",2,1.23
"OG Kush",2,1.23
"Tangie",2,1.23
"Trainwreck",2,1.23
"  ChemD",1,0.62
"?",1,0.62
"1:01",1,0.62
"10mg CBD capsule ",1,0.62
"AC/DC",1,0.62
"Acapulco Gold",1,0.62
"Ak47",1,0.62
"Amnesia haze",1,0.62
"Big City Lights",1,0.62
"Bio Diesel",1,0.62
"Biscotti Kush",1,0.62
"Blissful Wizard",1,0.62
"blue dream",1,0.62
"Blue dream ",1,0.62
"blueberry cookies",1,0.62
"Blueberry pie",1,0.62
"Bootylicious ",1,0.62
"Bruce Banner 4",1,0.62
"Bubba Kush Bk Indica",1,0.62
"Buddha's Sister",1,0.62
"Bullfighter",1,0.62
"Can't tell much difference",1,0.62
"CBD indica hybrid",1,0.62
"CBD Punch",1,0.62
"Cheesecake ",1,0.62
"Chemdawg",1,0.62
"Chocolope",1,0.62
"CHOCOLOPE",1,0.62
"Chuck og",1,0.62
"Citrique ",1,0.62
"Clementine",1,0.62
"Clementine ",1,0.62
"critical Mass",1,0.62
"cush",1,0.62
"Do-Si-Dos",1,0.62
"Do So Do #22",1,0.62
"Doesnt matter",1,0.62
"Dutch dragon",1,0.62
"Facewreck",1,0.62
"Gdp",1,0.62
"geleto",1,0.62
"GG",1,0.62
"GG #6",1,0.62
"Ggg",1,0.62
"Ghost Train Haze",1,0.62
"Girl Scout Cookies",1,0.62
"girls scout cookies",1,0.62
"Gods gift",1,0.62
"good",1,0.62
"gorilla glue",1,0.62
"gorilla glue #4",1,0.62
"Gorilla Glue #4",1,0.62
"Grand daddy purple",1,0.62
"Granddaddy Purp",1,0.62
"Granddaddy Purple",1,0.62
"Grandpa's Breath",1,0.62
"grape street",1,0.62
"Grateful Breath",1,0.62
"Gsc ",1,0.62
"Hashplant",1,0.62
"Headband",1,0.62
"Hindu Kush",1,0.62
"Hybrid",1,0.62
"Hybrid ",1,0.62
"indica",1,0.62
"INDICA",1,0.62
"Jack herer",1,0.62
"Jacksons jambo",1,0.62
"Jilly bean ",1,0.62
"Kush",1,0.62
"Laura Winslow ",1,0.62
"Lavender",1,0.62
"Lee roy",1,0.62
"lemon",1,0.62
"Lemon Jeffery",1,0.62
"Lemon jeffery ",1,0.62
"Lemon Meringue ",1,0.62
"Lemon skunk",1,0.62
"lower THC strains",1,0.62
"LVBK",1,0.62
"Mob ",1,0.62
"montenuska thunderfuck",1,0.62
"moonshine haze",1,0.62
"na",1,0.62
"Not sure",1,0.62
"og kush",1,0.62
"Pineapple Express ",1,0.62
"Pre 98 Bubba Kush",1,0.62
"Purple Chem",1,0.62
"purple kush",1,0.62
"Purple Kush",1,0.62
"Raspberry Cough",1,0.62
"Road kill skunk ",1,0.62
"Sage 21",1,0.62
"Sativa ",1,0.62
"Scooby snacks",1,0.62
"Smoke",1,0.62
"sour diesel",1,0.62
"Sour Diesel",1,0.62
"Star killer",1,0.62
"Strawberry banana",1,0.62
"Strawberry fields",1,0.62
"Sugar Black Rose",1,0.62
"Sweet skunk",1,0.62
"Sweet tooth",1,0.62
"SweetTooth",1,0.62
"Train wreck /// pain relief",1,0.62
"unknown",1,0.62
"Unknown",1,0.62
"Unknown n/a",1,0.62
"unsure",1,0.62
"Very small amount of TCH",1,0.62
"Walker Kush",1,0.62
"Wedding cake",1,0.62
"Wedding Cake",1,0.62
"White Lotus",1,0.62
"White Widow",1,0.62
"White widow ",1,0.62
"XJ 13",1,0.62
