Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?",,,,,,,,,,,,,,
,Response,Response,Response,Response,Response,Response,Response,,,,,,,,,,,,,,Sum
11062634752,4,5,5,2,4,4,3,,,,,,,6,4,3,1,3,6,4,27
11027692007,2,2,2,1,2,2,2,,,,Light,6,15.79%,2,1,1,0,1,2,2,9
10923325388,4,3,2,1,3,1,4,,,,Light - Moderate,13,34.21%,6,2,1,0,2,0,6,17
10893948558,4,5,1,2,5,3,4,,,,Moderate,12,31.58%,6,4,0,1,4,4,6,25
10888170961,2,3,2,2,1,2,3,,,,Moderate - Heavy,6,15.79%,2,2,1,1,0,2,4,12
10885759801,3,3,1,2,2,2,2,,,,Heavy,1,2.63%,4,2,0,1,1,2,2,12
10884768912,4,3,1,1,1,2,2,,,,,38,,6,2,0,0,0,2,2,12
10883497633,3,5,2,2,3,3,3,,,,,,,4,4,1,1,2,4,4,20
10882385979,3,3,2,2,3,2,3,,,,,,,4,2,1,1,2,2,4,16
10878751296,3,2,2,2,2,3,3,,,,,,,4,1,1,1,1,4,4,16
10878422887,4,5,4,2,3,1,4,,,,,,,6,4,3,1,2,0,6,22
10878214093,4,2,2,2,3,3,2,,,,,,,6,1,1,1,2,4,2,17
10877788133,3,2,1,2,1,2,2,,,,,,,4,1,0,1,0,2,2,10
10877606410,4,5,3,4,5,5,5,,,,,,,6,4,2,3,4,8,8,35
10877565497,4,5,2,2,4,2,3,,,,,,,6,4,1,1,3,2,4,21
10877375002,1,2,2,1,2,1,2,,,,,,,0,1,1,0,1,0,2,5
10877194985,4,5,3,2,4,4,5,,,,,,,6,4,2,1,3,6,8,30
10876876072,4,3,1,1,1,3,4,,,,,,,6,2,0,0,0,4,6,18
10876604101,1,1,1,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0
