"","V1"
"q8_mean",5.77
"q9_mean",5.5
"q10_mean",3.577
"q11_mean",8.42
"q12_mean",3.385
"q21_mean",6.64
"q33_mean",32.161
"q46_mean",22.339
"q53_mean",43.339
"q54_mean",67.089
