"response","count","percent_responded"
".5 grams or less",42,47.19
"1 gram",20,22.47
"2-3 grams",16,17.98
"4-6 grams",5,5.62
"1/4 ounce (~7 grams)",2,2.25
"8 grams -1/2 ounce (~ 14 grams)",2,2.25
"15 grams - 1 ounce (~28 grams)",1,1.12
"More than 1 ounce",1,1.12
