"","V1"
"q8_mean",5.9
"q9_mean",5.91
"q10_mean",3.489
"q11_mean",8.76
"q12_mean",3.088
"q21_mean",5.21
"q33_mean",93.02
"q46_mean",23.214
"q53_mean",75.605
"q54_mean",72.488
