"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10658550964,"","","","","1/4 ounce (~7 grams)"
10626251939,"8 grams to 1/2 ounce (~14 grams)","","","","1/2 gram"
10624147163,"4-6 grams","","","",""
10622925288,"","","","",""
10605637047,"","","","",""
10604065323,"","","","",""
10602936383,"2-3 grams","1/2 gram","","","1/4 gram or less"
10600857474,"","","","",""
10598255910,"","","","",""
10598221024,"","","","",""
10598122285,"","4-6 grams","","",""
10597419828,"1/4 ounce (~7 grams)","","","","1/2 gram"
10596131278,"","","","",""
10595615049,"1/4 ounce (~7 grams)","","","","1/2 gram"
10591451425,"1/2 gram","None","","",""
10585520406,"1/4 ounce (~7 grams)","8 grams to 1/2 ounce (~14 grams)","","",""
10584760225,"","","","",""
10583893598,"","","","",""
10581933788,"4-6 grams","","","",""
10581447651,"2-3 grams","4-6 grams","","",""
10580913646,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10579927077,"","","","",""
10576876213,"I don't know how much I use per week","","","",""
10575849400,"","","","",""
11213907729,"More than 1 ounce","","","",""
11212805644,"1/2 gram","","","",""
11186271761,"","1/4 gram or less","","","2-3 grams"
11170278059,"2-3 grams","","","",""
11151215837,"2-3 grams","","","","1/4 gram or less"
11072705197,"1/4 gram or less","","","",""
11044680699,"1/4 ounce (~7 grams)","","","",""
11042816472,"8 grams to 1/2 ounce (~14 grams)","2-3 grams","","","1  gram"
11037955315,"1  gram","","","",""
10991821033,"More than 1 ounce","","","","15 grams to 1 ounce (~28 grams)"
10978796014,"1/4 ounce (~7 grams)","","","",""
10977935510,"","2-3 grams","","",""
10974437681,"15 grams to 1 ounce (~28 grams)","","","",""
10965547652,"","","","",""
10956719648,"1/4 gram or less","","","",""
10868495105,"15 grams to 1 ounce (~28 grams)","","","",""
10767176517,"I don't know how much I use per week","","","",""
10760373939,"1/2 gram","","","",""
10758288741,"1/4 ounce (~7 grams)","","","",""
10719755952,"2-3 grams","1/4 gram or less","","","None"
10716623034,"","","","",""
10699810522,"I don't know how much I use per week","","","",""
10671009796,"","","","",""
10659241585,"1/4 ounce (~7 grams)","","","",""
10607782752,"","","","",""
10598306507,"","","","",""
10575479401,"","8 grams to 1/2 ounce (~14 grams)","","",""
10684698263,"15 grams to 1 ounce (~28 grams)","","","","1/4 gram or less"
