"response","count","percent_responded"
"Critical + 2.0",1,0.12
"critical Mass",1,0.12
"CSC",1,0.12
"Dakini Kush",1,0.12
"Dawg waltz",1,0.12
"Dead Head ",1,0.12
"Deadhead OG",1,0.12
"Deep Chunkolate",1,0.12
"Diesel Dough",1,0.12
"Do-Si-Do",1,0.12
"Do So Do #22",1,0.12
"Doc holliday",1,0.12
"Doesnt matter",1,0.12
"don'[t know",1,0.12
"don't have",1,0.12
"don't know ",1,0.12
"Don’t know",1,0.12
"dont know",1,0.12
"dont track",1,0.12
"Doobie Bird Daydream",1,0.12
"Dosido #22",1,0.12
"Double Black Domina ",1,0.12
"Double stuff",1,0.12
"Double Stuffed",1,0.12
"Double tangie banana",1,0.12
"Dourban poison",1,0.12
"Dr. who",1,0.12
"durban poison",1,0.12
"Durban poison",1,0.12
"Durban poison ",1,0.12
"durbin poison",1,0.12
"Dutch dragon",1,0.12
"Easy Rider",1,0.12
"Face wreck",1,0.12
"Facewreak",1,0.12
"flo",1,0.12
"Flo OG",1,0.12
"float",1,0.12
"French toast",1,0.12
"Fruity Indicas",1,0.12
"Fruity pebble",1,0.12
"G13",1,0.12
"Garlic Grove",1,0.12
"Gauava D",1,0.12
"Gdp",1,0.12
"Gg",1,0.12
"Gg #4",1,0.12
"GG #6",1,0.12
"GG X FPOG",1,0.12
"Gg#4",1,0.12
"gg4",1,0.12
"Ggg",1,0.12
"Ghost train",1,0.12
"Ghost Train",1,0.12
"Girl Scott cookie",1,0.12
"Girl scout",1,0.12
"Girl scout cookie",1,0.12
"Girl Scout Cookie",1,0.12
"Girl scout cookie ",1,0.12
"Girl Scout Cookie ",1,0.12
"glue",1,0.12
"God's Gift",1,0.12
"God bud",1,0.12
"Gods gift",1,0.12
"Golden lemon",1,0.12
"golden lemons",1,0.12
"good",1,0.12
"GORILLA GLUE",1,0.12
"Gorilla Glue ",1,0.12
"Gorilla glue #4",1,0.12
"gorilla glue 4",1,0.12
"Gorilla Glue 4",1,0.12
"gorilla goo",1,0.12
"Gorrila glue",1,0.12
"gorrilla glue",1,0.12
"grand daddy purp",1,0.12
"Grand daddy purple",1,0.12
"Grand Daddy Purple",1,0.12
"Grandaddy purp",1,0.12
"grandaddy purple",1,0.12
"Grandaddy purple",1,0.12
"granddaddy purple",1,0.12
"Granddaddy purple kush",1,0.12
"Grandpa's Breath",1,0.12
"Grape crush",1,0.12
"grape god",1,0.12
"GRAPE GOD",1,0.12
"grapegod",1,0.12
"Grateful Breath",1,0.12
"Gsc",1,0.12
"Gsc ",1,0.12
"Guava D",1,0.12
"Guptilla",1,0.12
"Hashplant",1,0.12
"Hawaiian spice",1,0.12
"Hazel",1,0.12
"headband",1,0.12
"Headband",1,0.12
"Heavenly Haze",1,0.12
"herijuana",1,0.12
