"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10166774106,"","","","51 - 100 mg","","","","","","",""
10166135661,"","","","","","","","","","",""
10166086781,"","","","101 - 200 mg","","","","","","",""
10164915493,"","","","26 - 50 mg","","","","","","6-25 mg",""
10164798083,"","","","6-25 mg","","","","","","",""
10158853744,"","","","","","","","","","",""
10156521325,"","","","","","","","","","",""
10156516032,"","","","","","","","","","",""
10154763373,"","","","6-25 mg","","","","","","",""
10153739906,"","","","101 - 200 mg","","","","","","",""
10147185169,"","","","","","","","","","",""
10145856040,"","","","","","","","","","",""
10145094441,"","","","51 - 100 mg","","","","","","",""
10144588236,"","","","26 - 50 mg","","","","","","6-25 mg",""
10144506582,"","","","","","","","","","",""
10143785163,"","","","51 - 100 mg","","","","","","",""
10143284849,"","","","","","","","","","",""
10143136866,"","","","5 mg or less","","","","","","",""
10143088122,"","","","","","","","","","",""
10142731921,"","","","5 mg or less","","","","","","",""
10142729007,"","","","","","","","","","",""
10142701054,"","","","","","","","","","",""
10142691158,"","","","26 - 50 mg","","","","","","",""
10142608773,"","","","101 - 200 mg","","","","","","",""
10142600591,"","","","5 mg or less","","","","","","",""
10140183753,"","","","","","","","","","",""
10139061871,"","","","","","","","","","",""
10138940954,"","","","","","","","6-25 mg","","",""
10138761669,"","","","","","","","","","",""
10137267705,"","","","5 mg or less","","","","","","",""
10136882264,"","","","6-25 mg","","","","","","",""
10136711414,"","","","6-25 mg","","","","","","",""
10134674468,"","","","6-25 mg","","","","51 - 100 mg","","",""
10133620417,"","","","","","","","","","201 - 500 mg",""
10133282449,"","","","201 - 500 mg","","","","26 - 50 mg","","",""
10132045124,"","","","","","","","","","",""
10131883157,"","","","","","","","","","",""
10131305406,"","","","51 - 100 mg","","","","","","",""
10131300085,"","","","","","","","","","",""
10131242010,"","","","6-25 mg","","","","","","5 mg or less",""
10131218652,"","","","101 - 200 mg","","","","","","",""
10131195330,"","","","","","","","","","",""
10131192376,"","","","5 mg or less","","","","","","",""
10130189844,"","","","6-25 mg","","","","","","",""
10130042878,"","","","501 - 1000 mg","","","","","","1001 or more mg",""
10129650193,"","","","51 - 100 mg","","","","","","",""
10129519603,"","","","6-25 mg","","","","","","",""
10129421681,"","","","501 - 1000 mg","","","","","","",""
10129349932,"","","","5 mg or less","","","","","","",""
10129124458,"","","","","","","","","","",""
10128026830,"","","","5 mg or less","","","","","","",""
10127918275,"","","","51 - 100 mg","","","","","","",""
10127868126,"","","","","","","","","","",""
10127786477,"","","","51 - 100 mg","","","","","","",""
10127496364,"","","","","","","","","","",""
10127475954,"","","","26 - 50 mg","","","","5 mg or less","","6-25 mg",""
10127389359,"","","","26 - 50 mg","","","","","","",""
10127359614,"","","","","","","","","","",""
10127356809,"","","","","","","","","","26 - 50 mg",""
10127331399,"","","","","","","","","","",""
10127257620,"","","","","","","","","","",""
10127236538,"","","","","","","","","","",""
10127228851,"","","","","","","","","","",""
10127199021,"","","","","","","","","","",""
10126315016,"","","","6-25 mg","","","","","","",""
10125815925,"","","","26 - 50 mg","","","","","","",""
10125565226,"","","","201 - 500 mg","","","","","","",""
10125413527,"","","","51 - 100 mg","","","","","","",""
10125239383,"","","","","","","","","","",""
10124476250,"","","","1001 or more mg","","","","","6-25 mg","",""
10124310683,"","","","51 - 100 mg","","","","","","",""
10124250123,"","","","6-25 mg","","","","","","",""
10124243132,"","","","","","","","","","",""
10124193021,"","","","201 - 500 mg","","","","51 - 100 mg","","26 - 50 mg",""
10123305896,"","","","201 - 500 mg","","","","","","",""
10120946731,"","","","","","","","","","",""
10120474217,"","","","501 - 1000 mg","","","","","","",""
10120088047,"","","","51 - 100 mg","","","","","","",""
10118791641,"","","","","","","","","","",""
10117806489,"","","","","","","","","","",""
10117478255,"","","","5 mg or less","","","","","","",""
10116352346,"","","","","","","","","","",""
10114997094,"","","","501 - 1000 mg","","","","","","",""
10114476888,"","","","5 mg or less","","","","","","",""
10114267357,"","","","","","","","","","",""
10113930337,"","","","","","","","","","",""
10113867776,"","","","","","","","","","",""
10113045616,"","","","51 - 100 mg","","","","","","",""
10113042932,"","","","101 - 200 mg","","","","","","",""
10112212744,"","","","101 - 200 mg","","","","","","",""
10110366322,"","","","51 - 100 mg","","","","","","",""
10107266347,"","","","","","","","","","",""
10104860194,"","","","","","","","101 - 200 mg","","",""
10104651807,"","","","","","","","","","",""
