"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11310196747,"","","","26 - 50 mg","","","","","","",""
11240366384,"","","","101 - 200 mg","","","","","","",""
10647197076,"","","","501 - 1000 mg","","","","","","",""
10626640573,"","","","51 - 100 mg","","","","","","",""
10615762014,"","","","","","","","","","",""
10607912288,"","","","5 mg or less","","","","","","",""
10557455189,"","","","","","","","","","",""
10544524568,"","","","","","","","","","",""
10498671034,"","","","101 - 200 mg","","","","26 - 50 mg","","6-25 mg",""
10464834197,"","","","5 mg or less","","","","","","",""
10332101269,"","","","5 mg or less","","","","","","",""
10308943093,"","","","6-25 mg","","","","","","",""
10289128872,"","","","","","","","","","",""
10275638274,"","","","201 - 500 mg","","","","","","",""
10255028590,"","","","51 - 100 mg","","","","","","",""
10250278548,"","","","","","","","","","",""
10249664681,"","","","201 - 500 mg","","","","","","",""
10248394143,"","","","","","","","","","",""
10246614299,"","","","26 - 50 mg","","","","","","",""
10242393876,"","","","201 - 500 mg","","","","","","",""
10239109393,"","","","","","","","","","",""
10235873040,"","","","","","","","","","",""
10231068611,"","","","","","","","","","",""
10230598781,"","","","26 - 50 mg","","","","","","",""
10230431590,"","","","","","","","","","",""
10230346299,"","","","","","","","","","",""
10230171943,"","","","5 mg or less","","","","","","",""
10229883527,"","","","","","","","","","",""
10229707932,"","","","5 mg or less","","","","","","",""
10229680195,"","","","","","","","","","",""
10229627874,"","","","5 mg or less","","","","","","",""
10229610141,"","","","","","","","","","",""
10229601010,"","","","51 - 100 mg","","","","","","",""
10229352625,"","","","26 - 50 mg","","","","","","",""
10229328989,"","","","51 - 100 mg","","","","","","",""
10229310948,"","","","5 mg or less","","","","51 - 100 mg","","",""
10225562804,"","","","5 mg or less","","","","","","",""
10215597692,"","","","","","","","","","",""
10214140927,"","","","5 mg or less","","","","","","",""
10212896873,"","","","5 mg or less","","","","","","",""
10211143094,"","","","5 mg or less","","","","","","",""
10210882547,"","","","","","","","","","",""
10205960203,"","","","5 mg or less","","","","","","",""
10199505748,"","","","","","","","","","",""
10198147123,"","","","","","","","","","",""
10196435492,"","","","6-25 mg","","","","","","",""
10192575549,"","","","26 - 50 mg","","","","","","",""
10192485669,"","","","6-25 mg","","","","","","",""
10192041422,"","","","","","","","","","",""
10191743884,"","","","6-25 mg","","","","","","",""
10191618664,"","","","201 - 500 mg","","","","","","",""
10191237902,"","","","6-25 mg","","","","","","",""
10190711176,"","","","","","","","","","",""
10188601839,"","","","6-25 mg","","","","","","",""
10187563095,"","","","201 - 500 mg","","","","","","",""
10186281148,"","","","201 - 500 mg","","","","","","",""
10186078923,"","","","101 - 200 mg","","","","","","",""
10180792818,"","","","","","","","","","",""
10179920502,"","","","","","","","","","",""
10179669534,"","","","51 - 100 mg","","","","","","",""
10179330306,"","","","","","","","","","",""
10178986427,"","","","6-25 mg","","","","","","",""
10176933598,"","","","201 - 500 mg","","","","","","",""
10172221711,"","","","26 - 50 mg","","","","","","",""
10168795326,"","","","","","","","","","",""
10168169939,"","","","6-25 mg","","","","","","",""
10167130854,"","","","6-25 mg","","","","","","",""
10166676707,"","","","","","","","","","",""
10166619682,"","","","6-25 mg","","","","","","",""
10166513618,"","","","","","","","","","",""
10164915493,"","","","26 - 50 mg","","","","","","6-25 mg",""
10164798083,"","","","6-25 mg","","","","","","",""
10163300389,"","","","5 mg or less","","","","","","",""
10163112692,"","","","","","","","","","",""
10161752939,"","","","5 mg or less","","","","","","",""
10160094020,"","","","","","","","","","101 - 200 mg",""
10158359541,"","","","5 mg or less","","","","","","",""
10156543135,"","","","6-25 mg","","","","","","",""
10153580627,"","","","26 - 50 mg","","","","","","",""
10149690562,"","","","","","","","","","",""
10149116440,"","","","","","","","","","",""
10147353916,"","","","6-25 mg","","","","","","",""
10146324196,"","","","26 - 50 mg","","","","","","",""
10146296373,"","","","5 mg or less","","","","","","",""
10145627229,"","","","","","","","","","",""
10145264541,"","","","","","","","","","",""
10144768270,"","","","","","","","","","",""
10143278634,"","","","6-25 mg","","","","","5 mg or less","",""
10143179433,"","","","","","","","","","",""
10143136866,"","","","5 mg or less","","","","","","",""
10143109892,"","","","","","","","","","",""
10143056609,"","","","","","","","","","",""
10142697139,"","","","51 - 100 mg","","","","","","",""
10142600591,"","","","5 mg or less","","","","","","",""
10142598571,"","","","","","","","","","",""
10138932667,"","","","","","","","","","",""
10138814442,"","","","5 mg or less","","","","","","",""
