"What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?",,,,,,
,,,,,,
Respondent ID,Open-Ended Response,,,,,
11249911719,100,,,,Average =,66.5380531
11249860217,100,,,,,
11249491628,100,,,,,
11246906361,100,,,,,
11245529294,100,,,,,
11241395977,100,,,,,
11241251752,100,,,,,
11239077222,100,,,,,
11238774708,100,,,,,
11238558967,100,,,,,
11238077963,100,,,,,
11236750096,100,,,,,
11232533197,100,,,,,
11222559871,100,,,,,
11221636373,100,,,,,
11215609540,100,,,,,
11212618775,100,,,,,
11211717848,100,,,,,
11208627585,100,,,,,
11181279818,100,,,,,
11170108737,100,,,,,
11166893092,100,,,,,
11166535497,100,,,,,
11166474867,100,,,,,
11166384877,100,,,,,
11161813510,100,,,,,
11156698544,100,,,,,
11156548224,100,,,,,
11148362084,100,,,,,
11141027225,100,,,,,
11140569970,100,,,,,
11138930846,100,,,,,
11138361963,100,,,,,
11137973158,100,,,,,
11137664485,100,,,,,
11137625236,100,,,,,
11137541759,100,,,,,
11136861481,100,,,,,
11136795358,100,,,,,
11135990132,100,,,,,
11135916791,100,,,,,
11135889511,100,,,,,
11135849827,100,,,,,
11135778856,100,,,,,
11135476295,100,,,,,
11135389919,100,,,,,
11135380294,100,,,,,
11135317065,100,,,,,
11135238481,100,,,,,
11135212674,100,,,,,
11135151906,100,,,,,
11135122023,100,,,,,
11135087208,100,,,,,
11135054998,100,,,,,
11135054557,100,,,,,
11135022253,100,,,,,
11135019994,100,,,,,
11134926998,100,,,,,
11134799419,100,,,,,
11134769709,100,,,,,
11134708109,100,,,,,
11134698105,100,,,,,
11134572563,100,,,,,
11134549629,100,,,,,
11134531419,100,,,,,
11134530007,100,,,,,
11134508380,100,,,,,
11134478610,100,,,,,
11134452367,100,,,,,
11134445906,100,,,,,
11129003813,100,,,,,
11111974827,100,,,,,
11102541656,100,,,,,
11076823569,100,,,,,
11064470565,100,,,,,
11064360862,100,,,,,
11064342543,100,,,,,
11062634752,100,,,,,
11061509902,100,,,,,
11057923056,100,,,,,
11054783496,100,,,,,
11036310394,100,,,,,
11030978965,100,,,,,
11023090140,100,,,,,
10985275093,100,,,,,
10923325388,100,,,,,
10902224469,100,,,,,
10894995749,100,,,,,
10893671348,100,,,,,
10893268968,100,,,,,
10893153651,100,,,,,
10892827041,100,,,,,
10892190679,100,,,,,
10887410730,100,,,,,
10885759801,100,,,,,
10884768912,100,,,,,
10883497633,100,,,,,
10879268147,100,,,,,
10879062209,100,,,,,
10878751296,100,,,,,
10878422887,100,,,,,
10878214093,100,,,,,
10877788133,100,,,,,
10877565497,100,,,,,
10877375002,100,,,,,
10877194985,100,,,,,
10876604101,100,,,,,
10876485783,100,,,,,
10876336346,100,,,,,
10875993925,100,,,,,
10875944995,100,,,,,
10875700450,100,,,,,
10875503972,100,,,,,
10875467061,100,,,,,
10875460020,100,,,,,
10875458883,100,,,,,
10874749577,100,,,,,
10872986638,100,,,,,
10872649413,100,,,,,
10867615622,100,,,,,
10865633390,100,,,,,
10865132242,100,,,,,
10864981709,100,,,,,
10863841131,100,,,,,
10861388917,100,,,,,
10860704252,100,,,,,
10860154215,100,,,,,
10859949104,100,,,,,
10859079118,100,,,,,
10857243738,100,,,,,
10856437127,100,,,,,
10852545455,100,,,,,
10850929741,100,,,,,
10849354793,100,,,,,
10849063157,100,,,,,
10848742483,100,,,,,
10848597634,100,,,,,
10848029491,100,,,,,
10847964940,100,,,,,
10847737322,100,,,,,
10847305299,100,,,,,
10847253946,100,,,,,
10847199598,100,,,,,
10847177434,100,,,,,
10847151018,100,,,,,
10847076490,100,,,,,
10847049077,100,,,,,
10847042681,100,,,,,
10847006667,100,,,,,
10846997868,100,,,,,
10846990356,100,,,,,
10845744369,100,,,,,
10844578211,100,,,,,
10844338129,100,,,,,
10844236012,100,,,,,
10844223289,100,,,,,
10843810346,100,,,,,
10843797483,100,,,,,
10843000999,100,,,,,
10842274754,100,,,,,
10842054674,100,,,,,
10841078256,100,,,,,
10837056649,100,,,,,
10835578531,100,,,,,
10835384840,100,,,,,
10834663571,100,,,,,
10834416742,100,,,,,
10833997993,100,,,,,
10833722328,100,,,,,
10832963325,100,,,,,
10832483530,100,,,,,
10832451640,100,,,,,
10832270581,100,,,,,
10832206360,100,,,,,
10832200410,100,,,,,
10832191551,100,,,,,
10832167633,100,,,,,
10831948698,100,,,,,
10831929904,100,,,,,
10831893906,100,,,,,
10831686982,100,,,,,
10831397885,100,,,,,
10831158462,100,,,,,
10830896942,100,,,,,
10830786742,100,,,,,
10830145897,100,,,,,
10823088016,100,,,,,
10822727213,100,,,,,
10800317244,100,,,,,
10763284450,100,,,,,
10758753382,100,,,,,
10749570344,100,,,,,
10749222846,100,,,,,
10709051382,100,,,,,
10706606981,100,,,,,
10691181667,100,,,,,
10676786628,100,,,,,
10669140575,100,,,,,
10668597062,100,,,,,
10668361624,100,,,,,
10668312322,100,,,,,
