"response","count","percent_responded"
"Blue Dream",6,2.33
"GG4",5,1.94
"Girl Scout Cookies",4,1.55
"Sour Diesel",4,1.55
"Gorilla glue",3,1.16
"Gorilla Glue",3,1.16
"Green Crack",3,1.16
"GSC",3,1.16
"Hybrid ",3,1.16
"Indica",3,1.16
"?",2,0.78
"Ak47",2,0.78
"Bio Diesel",2,0.78
"Blue dream",2,0.78
"blueberry",2,0.78
"Blueberry",2,0.78
"Bruce Banner",2,0.78
"Citrix",2,0.78
"Facewreck",2,0.78
"Granddaddy Purple",2,0.78
"Grape God",2,0.78
"Gsc ",2,0.78
"Hybrid",2,0.78
"Kush",2,0.78
"Lemon ice",2,0.78
"Lemon Jeffrey",2,0.78
"Pineapple express",2,0.78
"Pineapple Express ",2,0.78
"Sweet tooth",2,0.78
"Sweet tooth ",2,0.78
"Tangie",2,0.78
"Trainwreck",2,0.78
"White Widow",2,0.78
"  ChemD",1,0.39
"1:01",1,0.39
"3 Gorillas ",1,0.39
"9lb Hammer ",1,0.39
"AC/DC",1,0.39
"Acapulco Gold",1,0.39
"ACDC",1,0.39
"Albert Walker",1,0.39
"any indica",1,0.39
"Any indica",1,0.39
"Banana split ",1,0.39
"Big Bud",1,0.39
"Bio diesel",1,0.39
"Bio diesel ",1,0.39
"Biscotti Kush",1,0.39
"Black D.O.G.",1,0.39
"Black Mamba",1,0.39
"Blissful Wizard",1,0.39
"Blue Cheese",1,0.39
"Blue cheese ",1,0.39
"Blue Cookies",1,0.39
"Blue dream ",1,0.39
"Blueberry ",1,0.39
"blueberry cookies",1,0.39
"Blueberry pie",1,0.39
"Bruce Banner ",1,0.39
"Brucebanner",1,0.39
"bubbak",1,0.39
"Buddahs sister",1,0.39
"Buddha's Sister",1,0.39
"Buddha’s sister",1,0.39
"Bullfighter",1,0.39
"Cannatonic",1,0.39
"CBD",1,0.39
"CBD and 1-1 ",1,0.39
"CBD indica hybrid",1,0.39
"Cheesecake ",1,0.39
"CHEMDAWG",1,0.39
"CHOCOLOPE",1,0.39
"Chuck og",1,0.39
"Citrique ",1,0.39
"Clementine ",1,0.39
"Cookies and Cream",1,0.39
"Cornbread",1,0.39
"Critical + 2.0",1,0.39
"Dakini Kush",1,0.39
"Dawg Biscuit",1,0.39
"Diesel",1,0.39
"Do-Si-Dos",1,0.39
"Doc holliday",1,0.39
"Don’t know",1,0.39
"Double tangie banana",1,0.39
"Durban",1,0.39
"Durban poison",1,0.39
"Durban Poison",1,0.39
"Dutch dragon",1,0.39
"Flo",1,0.39
"float",1,0.39
"French toast",1,0.39
"Fruity pebble",1,0.39
"GDP",1,0.39
"Gelato",1,0.39
"Gelato #33",1,0.39
"geleto",1,0.39
"GG",1,0.39
"GG #4",1,0.39
"GG #6",1,0.39
"GG 4",1,0.39
"Ghost Train",1,0.39
"Ghost Train Haze",1,0.39
"Girl scout",1,0.39
"Gods gift",1,0.39
"Gorilla glue ",1,0.39
"gorilla glue #4",1,0.39
"Gorilla glue #4",1,0.39
"Gorilla Glue #4",1,0.39
"Grand Daddy Purp",1,0.39
"Grand daddy purple",1,0.39
"Grand daddy Purple",1,0.39
"Grand Daddy Purple",1,0.39
"Granddaddy purple kush",1,0.39
"Grateful Breath",1,0.39
"Guava D",1,0.39
"Hashplant",1,0.39
"Haze",1,0.39
"headband",1,0.39
"higwayman day time ",1,0.39
"Hindu Kush",1,0.39
"hydropothicary thc elixer spray",1,0.39
"incense haze",1,0.39
"Inzane in the membrane",1,0.39
"Jack FRost",1,0.39
"jack herer",1,0.39
"Jack herier ",1,0.39
"Jacksons jambo",1,0.39
"Jilly bean ",1,0.39
"Kilamanjo",1,0.39
"Killer Queen",1,0.39
"lemon",1,0.39
