"response","count","percent_responded"
"Blue Dream",4,1.64
"Girl Scout Cookies",4,1.64
"Bio Diesel",3,1.23
"Facewreck",3,1.23
"Flo",3,1.23
"Grape god",3,1.23
"GSC",3,1.23
"White widow",3,1.23
"?",2,0.82
"blue dream",2,0.82
"Blueberry Cookies ",2,0.82
"Durban Poison",2,0.82
"gg4",2,0.82
"Granddaddy Purple",2,0.82
"Highwayman",2,0.82
"Indica",2,0.82
"Jack Herrer",2,0.82
"Kush",2,0.82
"Lemon Haze",2,0.82
"Mimosa",2,0.82
"OG Kush",2,0.82
"Pineapple Express",2,0.82
"Sour Diesel",2,0.82
"'88 G-13 Hashplant",1,0.41
"20:01",1,0.41
"3d cbd",1,0.41
"Alien OG",1,0.41
"All Indica strains",1,0.41
"any hybrid",1,0.41
"Anything indica",1,0.41
"anything Purple",1,0.41
"Anything purple ",1,0.41
"Anytime cbd tinture",1,0.41
"Berry Gelato",1,0.41
"Berry white",1,0.41
"BIG BUD",1,0.41
"Bio deisel",1,0.41
"Bio Desiel ",1,0.41
"Black Dog",1,0.41
"Black mumba",1,0.41
"Blackberry hash",1,0.41
"Blackwater",1,0.41
"blue cheese",1,0.41
"Blue dream",1,0.41
"Blue OG",1,0.41
"Blue Power (indica dominant)",1,0.41
"Blueberry ",1,0.41
"Blueberry Cheese",1,0.41
"Blueberry Haze",1,0.41
"Blueberry Pomegranite",1,0.41
"Bordello",1,0.41
"Bruce banner ",1,0.41
"Bruce banner #3",1,0.41
"Bruce Banner 3",1,0.41
"Bubba",1,0.41
"Bubba Kush",1,0.41
"Bubba OG",1,0.41
"Bubba x Blockhead",1,0.41
"Burnt Cream Pie",1,0.41
"Captain's Cake",1,0.41
"Caramelicious",1,0.41
"Cbd",1,0.41
"Chem",1,0.41
"Chem dog",1,0.41
"Chem Dog",1,0.41
"Chemdog",1,0.41
"Cherry Pie",1,0.41
"Chocolate OG",1,0.41
"Chocolate oranges",1,0.41
"Chocolate Oranges",1,0.41
"Chocoloupe",1,0.41
"Clementine",1,0.41
"cookies and cream",1,0.41
"Cotton Candy",1,0.41
"Cream",1,0.41
"Dakini Kush",1,0.41
"Dank sinatra",1,0.41
"Dead Head OG",1,0.41
"Death Star",1,0.41
"Diesel Dough ",1,0.41
"Don’t know",1,0.41
"Double Black Domina",1,0.41
"Double Black Domina for sleep ",1,0.41
