"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10234243108,"","","","6-25 mg","","","","","","",""
10234227563,"","","","","","","","","","26 - 50 mg",""
10234107777,"","","","","","","","","26 - 50 mg","6-25 mg",""
10233946587,"","","","101 - 200 mg","","","","","6-25 mg","",""
10233901115,"","","","1001 or more mg","","","","","","",""
10233663249,"","","","","","","","","","",""
10233619569,"","","","","","","","","","",""
10233407885,"","","","51 - 100 mg","","","","","","",""
10233370591,"","","","","","","","","","",""
10233315156,"","","","","","","","","","",""
10233274468,"","","","","","","","","","5 mg or less",""
10233153110,"","","","","","","","","","",""
10233142044,"","","","6-25 mg","","","","","","51 - 100 mg",""
10233094381,"","","","","","","","","","",""
10232898612,"","","","","","","","","26 - 50 mg","",""
10232773585,"","","","","","","","","1001 or more mg","",""
10232619769,"","","","","","","","","","",""
10232561621,"","","","5 mg or less","","","","","","",""
10232503546,"","","","5 mg or less","","","","","","",""
10232360437,"","","","","","","","","","",""
10232232344,"","","","5 mg or less","","","","","","",""
10232035837,"","","","5 mg or less","","","","","","",""
10232009660,"","","","","","","","","","",""
10231913670,"","","","1001 or more mg","","","","501 - 1000 mg","26 - 50 mg","",""
10231842260,"","","","501 - 1000 mg","","","","","","6-25 mg",""
10231654493,"","","","","","","","","","",""
10231320543,"","","","26 - 50 mg","","","","","","",""
10231285230,"","","","6-25 mg","","","","","","26 - 50 mg",""
10231071470,"","","","5 mg or less","","","","","","",""
10231068611,"","","","","","","","","","",""
10231064575,"","","","","","","","","","",""
10230820147,"","","","","","","","","","",""
10230701658,"","","","6-25 mg","","","","","","",""
10230669640,"","","","","","","","","5 mg or less","",""
10230596390,"","","","","","","","","","",""
10230571912,"","","","51 - 100 mg","","","","","","",""
10230530276,"","","","6-25 mg","","","","","","",""
10230474596,"","","","","","","","","","6-25 mg",""
10230431590,"","","","","","","","","","",""
10230410378,"","","","","","","","","","",""
10230407442,"","","","","","","","","","",""
10230383445,"","","","","","","","","","",""
10230376575,"","","","5 mg or less","","","","","","",""
10230346299,"","","","","","","","","","",""
10230334342,"","","","6-25 mg","","","","","","",""
10230326071,"","","","51 - 100 mg","","","","5 mg or less","","",""
10230318306,"","","","","","","","","","",""
10230315461,"","","","5 mg or less","","","","","","6-25 mg",""
10230255552,"","","","6-25 mg","","","","","","",""
10230249825,"","","","","","","","","","5 mg or less",""
10230246660,"","","","501 - 1000 mg","","","","","","",""
10230236662,"","","","","","","","","","",""
10230234279,"","","","6-25 mg","","","","","","",""
10230198078,"","","","6-25 mg","","","","","","",""
10230171943,"","","","5 mg or less","","","","","","",""
10230167859,"","","","","","","","","","",""
10230112524,"","","","","","","","101 - 200 mg","","",""
10230022114,"","","","","","","","","","",""
10230014122,"","","","5 mg or less","","","","","","",""
10229975238,"","","","5 mg or less","","","","","","",""
10229949182,"","","","51 - 100 mg","","","","","","",""
10229924394,"","","","26 - 50 mg","","","","","","6-25 mg",""
10229883527,"","","","","","","","","","",""
10229862575,"","","","26 - 50 mg","","","","","","",""
10229855762,"","","","6-25 mg","","","","5 mg or less","","",""
10229820907,"","","","","","","","","","",""
10229782200,"","","","","","","","","","",""
10229765765,"","","","","","","","","","501 - 1000 mg",""
10229755208,"","","","","","","","","","",""
10229749100,"","","","5 mg or less","","","","","","",""
10229707932,"","","","5 mg or less","","","","","","",""
10229687684,"","","","26 - 50 mg","","","","","","",""
10229684451,"","","","101 - 200 mg","","","","","","5 mg or less",""
10229680195,"","","","","","","","","","",""
10229676773,"","","","","","","","","","",""
10229670320,"","","","26 - 50 mg","","","","","","",""
10229649057,"","","","1001 or more mg","","","","26 - 50 mg","","101 - 200 mg",""
10229633882,"","","","","","","","","","5 mg or less",""
10229630948,"","","","","","","","","","",""
10229628331,"","","","","","","","","","",""
10229623103,"","","","","","","","5 mg or less","","",""
10229621245,"","","","","","","","","","51 - 100 mg",""
10229608780,"","","","","","","","","","",""
10229605942,"","","","201 - 500 mg","","","","","","",""
10229605070,"","","","51 - 100 mg","","","","","","",""
10229601010,"","","","51 - 100 mg","","","","","","",""
10229590537,"","","","501 - 1000 mg","","","","201 - 500 mg","","101 - 200 mg",""
10229566006,"","","","5 mg or less","","","","","","",""
10229554391,"","","","","","","","","","26 - 50 mg",""
10229534721,"","","","","","","","","","",""
10229507895,"","","","5 mg or less","","","","","","",""
10229502714,"","","","","","","","","","501 - 1000 mg",""
10229502087,"","","","5 mg or less","","","","6-25 mg","","",""
10229494604,"","","","","","","","","","",""
10229490194,"","","","6-25 mg","","","","","","101 - 200 mg",""
10229486458,"","","","","","","","","","5 mg or less",""
10229477413,"","","","51 - 100 mg","","","","","","",""
10229472013,"","","","5 mg or less","","","","","","",""
10229467510,"","","","6-25 mg","","","","","","5 mg or less",""
10229467101,"","","","","","","","","","",""
10229459581,"","","","","","","","","","",""
10229453603,"","","","6-25 mg","","","","","","",""
10229451801,"","","","","","","","","","",""
10229451186,"","","","","","","","","","",""
10229450623,"","","","5 mg or less","","","","","","",""
10229449766,"","","","","","","","","","",""
10229449136,"","","","5 mg or less","","","","","","",""
10229432345,"","","","5 mg or less","","","","","","",""
10229426798,"","","","","","","","","","",""
10229408873,"","","","","","","","","","",""
10229404289,"","","","","","","","","","",""
10229397458,"","","","","","","","","","",""
10229396846,"","","","6-25 mg","","","","","","",""
10229395392,"","","","","","","","","","",""
10229388787,"","","","201 - 500 mg","","","","","","",""
10229370437,"","","","","","","","","","",""
10229369078,"","","","51 - 100 mg","","","","","","",""
10229357731,"","","","","","","","","","",""
10229352625,"","","","26 - 50 mg","","","","","","",""
10229350099,"","","","5 mg or less","","","","","","",""
10229347523,"","","","5 mg or less","","","","","","",""
10229334562,"","","","5 mg or less","","","","","","",""
10229332529,"","","","","","","","","","",""
10229331171,"","","","","","","","","","",""
10229325434,"","","","","","","","","","51 - 100 mg",""
10229317169,"","","","","","","","","","",""
10229310948,"","","","5 mg or less","","","","51 - 100 mg","","",""
10229308968,"","","","","","","","","","",""
10229305110,"","","","","","","","","","",""
10229304627,"","","","5 mg or less","","","","","","",""
10229304615,"","","","","","","","","","",""
10229301563,"","","","6-25 mg","","","","","","",""
10229301530,"","","","6-25 mg","","","","","","",""
10229300055,"","","","","","","","","","",""
10229291368,"","","","","","","","","","",""
10229285930,"","","","","","","","","","",""
10229281307,"","","","","","","","","","",""
10225562804,"","","","5 mg or less","","","","","","",""
10223907822,"","","","1001 or more mg","","","","201 - 500 mg","","501 - 1000 mg",""
10223801994,"","","","101 - 200 mg","","","","","","",""
10220475020,"","","","6-25 mg","","","","","","",""
10219430081,"","","","","","","","","","",""
10219185284,"","","","6-25 mg","","","","","","",""
10218215849,"","","","5 mg or less","","","","","","",""
10217868533,"","","","101 - 200 mg","","","","","","",""
10217376832,"","","","","","","","","","",""
10214140927,"","","","5 mg or less","","","","","","",""
10213810911,"","","","6-25 mg","","","","","","",""
10213685358,"","","","","","","","","","",""
10212896873,"","","","5 mg or less","","","","","","",""
10212670183,"","","","","","","","","","",""
10211611510,"","","","","","","","","","",""
10211434776,"","","","","","","","","","",""
10211143094,"","","","5 mg or less","","","","","","",""
10210916402,"","","","5 mg or less","","","","","","",""
10210882547,"","","","","","","","","","",""
10210640265,"","","","6-25 mg","","","","","","",""
10210561964,"","","","6-25 mg","","","","","","",""
10207891021,"","","","","","","","26 - 50 mg","","",""
10207729722,"","","","","","","","","","",""
10206473134,"","","","5 mg or less","","","","","","",""
10205960203,"","","","5 mg or less","","","","","","",""
10203397138,"","","","6-25 mg","","","","","","",""
10203196565,"","","","5 mg or less","","","","","","",""
10202983474,"","","","","","","","","","",""
10201808150,"","","","","","","","","","",""
10201740973,"","","","","","","","","","",""
10201076986,"","","","26 - 50 mg","","","","","","",""
10198548060,"","","","26 - 50 mg","","","","","","",""
10198112398,"","","","6-25 mg","","","","5 mg or less","","",""
10198104111,"","","","","","","","","","",""
10197036879,"","","","","","","","","","",""
10196553108,"","","","201 - 500 mg","","","","","","",""
10196435492,"","","","6-25 mg","","","","","","",""
10196363510,"","","","6-25 mg","","","","","","",""
10195755785,"","","","","","","","","","",""
10194492829,"","","","","","","","","","",""
10194311177,"","","","5 mg or less","","","","","","",""
10194157007,"","","","","","","","","","",""
10193457250,"","","","","","","","","","6-25 mg",""
10192995461,"","","","201 - 500 mg","","","","","","",""
10192878974,"","","","","","","","","","",""
10192810731,"","","","","","","","","","",""
10192727692,"","","","5 mg or less","","","","","","",""
10192677147,"","","","1001 or more mg","","","","","","",""
10192638212,"","","","6-25 mg","","","","","","",""
10192602117,"","","","6-25 mg","","","","","","",""
10192586963,"","","","5 mg or less","","","","","","",""
