"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11121905332,"2-3 grams","","","",".5 grams or less","","","","","",""
11111801761,"2-3 grams","1 gram","","",".5 grams or less","","","","","",""
10937584160,"1 gram","","","",".5 grams or less","","","","","",""
10633844023,"1/4 ounce (~7 grams)","","","","","","","","","",""
10630387074,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10626429877,"","","","","","","","","","",""
10623964351,"","","","","","","","","","",""
10621098231,".5 grams or less","","","","","","","","","",""
10617352263,"1 gram","","","","","","","","","",""
10615607693,"1/4 ounce (~7 grams)","1 gram","","","","","","","","",""
10614765881,"","","","","1 gram","","","","","",""
10607912288,"4-6 grams","","","","","","","","","",""
10572726875,"","","","","4-6 grams","","","","","",""
10550852127,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10498671034,"8 grams -1/2 ounce (~ 14 grams)","4-6 grams","","","2-3 grams","","","","","",""
10464834197,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10463520639,"",".5 grams or less","","","","","","","","",""
10444236346,"4-6 grams","","","","","","","","","",""
10427038209,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10390735914,"1/4 ounce (~7 grams)","","","","2-3 grams","","","","","",""
10389539123,"2-3 grams","","","","1 gram","","","","","",""
10361398461,"2-3 grams","4-6 grams","","","","","","","","",""
10338548186,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10313041082,"1/4 ounce (~7 grams)","","","","1 gram","","","","","",""
10312356549,"","","","","","","","","","",""
10308744405,"","","","","8 grams -1/2 ounce (~ 14 grams)","","","","","",""
10304447243,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10288934828,"1 gram","1/4 ounce (~7 grams)","","","","","","","","",""
10280513706,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10263390124,"","","","","","","","","","",""
10260585584,"1/4 ounce (~7 grams)","","","","","","","","","",""
10256517627,"",".5 grams or less","","","","","","","","",""
10256255317,"8 grams -1/2 ounce (~ 14 grams)","","","",".5 grams or less","","","","","",""
10253887260,"",".5 grams or less","","","","","","","","",""
10249664681,"1/4 ounce (~7 grams)","1 gram","","",".5 grams or less","","","","","",""
10248394143,"","","","","","","","","","",""
10247692900,"1 gram","","","",".5 grams or less","","","","","",""
10247538120,"8 grams -1/2 ounce (~ 14 grams)",".5 grams or less","","","2-3 grams","","","","","",""
10243585697,"","","","","","","","","","",""
10242393876,"8 grams -1/2 ounce (~ 14 grams)","","","",".5 grams or less","","","","","",""
10239109393,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10236223392,".5 grams or less","1 gram","","","2-3 grams","","","","","",""
10236014104,"1/4 ounce (~7 grams)","","","","","","","","","",""
10235888421,"1/4 ounce (~7 grams)","1 gram","","",".5 grams or less","","","","","",""
10235746652,"","","","","","","","","","",""
10234227563,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10233946587,"1 gram","2-3 grams","","",".5 grams or less","","","","","",""
10233709696,".5 grams or less","","","","","","","","","",""
10233531303,"","","","","","","","","","",""
10233496428,"1/4 ounce (~7 grams)","","","","1 gram","","","","","",""
10233407885,"","","","","","","","","","","2-3 grams"
10233142044,"2-3 grams","","","","","","","","","",""
10231913670,"","","","","More than 1 ounce","","","","","",""
