"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
10843259075,"1/4 gram or less","","","",""
10843006971,"More than 1 ounce","1/4 gram or less","","","1  gram"
10842274754,"1/4 gram or less","","","",""
10841078256,"4-6 grams","","","",""
10841050682,"More than 1 ounce","","","","2-3 grams"
10840899449,"4-6 grams","","","",""
10840178037,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","","4-6 grams"
10837914247,"2-3 grams","","","",""
10837706698,"","I don't know how much I use per week","","",""
10837056649,"2-3 grams","","","",""
10836382971,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 ounce (~7 grams)"
10836330737,"4-6 grams","","","","1/4 gram or less"
10835639035,"8 grams to 1/2 ounce (~14 grams)","","","",""
10834416742,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10834379529,"1/4 ounce (~7 grams)","","","",""
10834332090,"","","","",""
10834249218,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10834053271,"2-3 grams","1/2 gram","","","1/4 gram or less"
10833997993,"15 grams to 1 ounce (~28 grams)","","","","None"
10833790283,"1/4 ounce (~7 grams)","","","","1  gram"
10832963325,"","","","","8 grams to 1/2 ounce (~14 grams)"
10832733276,"","","","",""
10832451640,"1  gram","","","",""
10832343863,"","","","",""
10832270581,"2-3 grams","","","","1/2 gram"
10832224616,"1  gram","","","",""
10832200410,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10832173617,"","","","","4-6 grams"
10832167633,"1/2 gram","","","",""
10832123166,"2-3 grams","","","",""
10832012122,"1  gram","","","",""
10831948698,"1/4 gram or less","","","",""
10831931418,"1/2 gram","","","",""
10831929904,"4-6 grams","1  gram","","",""
10831898832,"4-6 grams","","","",""
10831865696,"4-6 grams","1/2 gram","","",""
10831792008,"1/2 gram","","","","1  gram"
10831623393,"1/4 ounce (~7 grams)","","","","I don't know how much I use per week"
10831181023,"","","","","2-3 grams"
10831158462,"","","","",""
10830896942,"","","","","1  gram"
10830882008,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10830145897,"I don't know how much I use per week","","","",""
10823088016,"4-6 grams","","","","1/4 gram or less"
10822875373,"1/4 ounce (~7 grams)","","","",""
10822727213,"8 grams to 1/2 ounce (~14 grams)","I don't know how much I use per week","","","1  gram"
10822621750,"","","","",""
10822544735,"","","","",""
10808168894,"","","","",""
10802360410,"8 grams to 1/2 ounce (~14 grams)","1  gram","","","1/4 gram or less"
10764443236,"2-3 grams","","","",""
10749570344,"1/4 ounce (~7 grams)","","","",""
10726117373,"","1/4 gram or less","","",""
10716518478,"","","","",""
10706606981,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10691181667,"1/4 gram or less","","","",""
10686863888,"1  gram","","","",""
10685325930,"I don't know how much I use per week","","","",""
10685117930,"4-6 grams","2-3 grams","","",""
10681003613,"1/4 gram or less","","","",""
10677653881,"1/4 ounce (~7 grams)","","","",""
10677560387,"I don't know how much I use per week","","","",""
10675806972,"","","","","4-6 grams"
10671153091,"More than 1 ounce","1/4 gram or less","","","2-3 grams"
10670361680,"2-3 grams","","","",""
10668135000,"1/4 gram or less","","","",""
10668103394,"1  gram","","","",""
10667425695,"","","","",""
10667398958,"15 grams to 1 ounce (~28 grams)","","","","1  gram"
10667384979,"I don't know how much I use per week","","","",""
10667369837,"8 grams to 1/2 ounce (~14 grams)","","","","None"
10660833205,"1/4 gram or less","","","",""
10660294275,"More than 1 ounce","1  gram","","",""
10658649988,"1/4 ounce (~7 grams)","1/4 gram or less","","","2-3 grams"
10658550964,"","","","","1/4 ounce (~7 grams)"
10648772348,"","","","","2-3 grams"
10626251939,"8 grams to 1/2 ounce (~14 grams)","","","","1/2 gram"
10618149896,"8 grams to 1/2 ounce (~14 grams)","1  gram","","","1/4 gram or less"
10615243125,"I don't know how much I use per week","","","",""
10605637047,"","","","",""
10602936383,"2-3 grams","1/2 gram","","","1/4 gram or less"
10600857474,"","","","",""
10598715725,"1/4 gram or less","","","",""
10598255910,"","","","",""
10598221024,"","","","",""
10598122285,"","4-6 grams","","",""
10597419828,"1/4 ounce (~7 grams)","","","","1/2 gram"
10596131278,"","","","",""
10595615049,"1/4 ounce (~7 grams)","","","","1/2 gram"
10591451425,"1/2 gram","None","","",""
10585520406,"1/4 ounce (~7 grams)","8 grams to 1/2 ounce (~14 grams)","","",""
10584760225,"","","","",""
10583893598,"","","","",""
10583372838,"4-6 grams","","","","1/2 gram"
10582003543,"","1/4 ounce (~7 grams)","","",""
10581447651,"2-3 grams","4-6 grams","","",""
10580913646,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10580341387,"15 grams to 1 ounce (~28 grams)","","","",""
10579927077,"","","","",""
10577642085,"","","","",""
10577209087,"","","","",""
10576876213,"I don't know how much I use per week","","","",""
10575878347,"1/2 gram","","","",""
10575849400,"","","","",""
10575471607,"4-6 grams","","","",""
10575226552,"More than 1 ounce","","","","2-3 grams"
10575091533,"1/4 ounce (~7 grams)","1  gram","","","1/4 gram or less"
10572546454,"4-6 grams","","","",""
10572540138,"More than 1 ounce","","","","1/4 ounce (~7 grams)"
10570146744,"","","","",""
10569280747,"8 grams to 1/2 ounce (~14 grams)","","","","2-3 grams"
10568865766,"","4-6 grams","","",""
10567016644,"","","","",""
10566881623,"","","","","1/2 gram"
10566297731,"1/4 gram or less","1/2 gram","","","2-3 grams"
11212805644,"1/2 gram","","","",""
11186271761,"","1/4 gram or less","","","2-3 grams"
11151215837,"2-3 grams","","","","1/4 gram or less"
11044680699,"1/4 ounce (~7 grams)","","","",""
11042816472,"8 grams to 1/2 ounce (~14 grams)","2-3 grams","","","1  gram"
11037955315,"1  gram","","","",""
11009295893,"8 grams to 1/2 ounce (~14 grams)","","","",""
10991821033,"More than 1 ounce","","","","15 grams to 1 ounce (~28 grams)"
10978796014,"1/4 ounce (~7 grams)","","","",""
10974652472,"1/4 ounce (~7 grams)","","","","2-3 grams"
10974437681,"15 grams to 1 ounce (~28 grams)","","","",""
10965547652,"","","","",""
10956719648,"1/4 gram or less","","","",""
10632499407,"8 grams to 1/2 ounce (~14 grams)","","","","2-3 grams"
10632389881,"15 grams to 1 ounce (~28 grams)","","","","2-3 grams"
10628926943,"","","","",""
10598727391,"","","","",""
10583000127,"","","","",""
10580166038,"4-6 grams","","","","1/4 gram or less"
10868495105,"15 grams to 1 ounce (~28 grams)","","","",""
10760373939,"1/2 gram","","","",""
10758288741,"1/4 ounce (~7 grams)","","","",""
10719755952,"2-3 grams","1/4 gram or less","","","None"
10671009796,"","","","",""
10659241585,"1/4 ounce (~7 grams)","","","",""
10581017097,"1/2 gram","","","",""
10574111964,"","2-3 grams","","","1/4 gram or less"
10569513731,"8 grams to 1/2 ounce (~14 grams)","","","",""
10684698263,"15 grams to 1 ounce (~28 grams)","","","","1/4 gram or less"
