"response","count","percent_responded"
"Blueberry Pomegranite",1,0.09
"Bootylicious",1,0.09
"Bootylicious ",1,0.09
"Bordello",1,0.09
"Bruce banner",1,0.09
"Bruce banner ",1,0.09
"Bruce banner #3",1,0.09
"Bruce Banner 3",1,0.09
"Bruce Banner by Garden Remedies",1,0.09
"Bubba",1,0.09
"Bubba Fett",1,0.09
"Bubba OG",1,0.09
"Bubba x Blockhead",1,0.09
"bubblegum ",1,0.09
"Buckeye Purple",1,0.09
"Buddah's Sister",1,0.09
"Buddah ",1,0.09
"Buddha’s Sister",1,0.09
"Burnt Cream Pie",1,0.09
"C99",1,0.09
"Cali kush",1,0.09
"Candyland",1,0.09
"cannatonic",1,0.09
"Cannatonic",1,0.09
"CannaTSRO1 (Indica with high CBD)",1,0.09
"cant recall",1,0.09
"Cappuccino 420",1,0.09
"Captain's Cake",1,0.09
"Captains cake",1,0.09
"Caramelicious",1,0.09
"Cbd",1,0.09
"CBD-heavy",1,0.09
"CBD 1-1 strains",1,0.09
"CBD Blue Shark",1,0.09
"CBD mix",1,0.09
"CBD Mixed",1,0.09
"CBD oil",1,0.09
"cbd punch",1,0.09
"CBD punch",1,0.09
"CBD vape",1,0.09
"Charlotte's web(Never tried)",1,0.09
"Charlottes Web",1,0.09
"Cheese ",1,0.09
"Cheese (any) ",1,0.09
"Chem",1,0.09
"Chem 4",1,0.09
"Chem Dank x slymerwood",1,0.09
"Chem dog",1,0.09
"Chem Dog",1,0.09
"chem dog ",1,0.09
"Chemdawg",1,0.09
"Chemdog",1,0.09
"ChemDog",1,0.09
"Cherry AK47",1,0.09
"Cherry Cookies",1,0.09
"Choco",1,0.09
"Chocolate OG",1,0.09
"chocolate oranges ",1,0.09
"Chocolate Oranges (indica)",1,0.09
"Chocolope",1,0.09
"Chronic",1,0.09
"Chronic Thunder",1,0.09
"Chuck OG (Indica)",1,0.09
"Cinderella",1,0.09
"Cindy 99",1,0.09
"Cinex",1,0.09
"citrique",1,0.09
"Citrique",1,0.09
"Clementine",1,0.09
"Clementine ",1,0.09
"Comatose",1,0.09
"Combination of indica & sativa",1,0.09
"Commerce city Kush",1,0.09
"Cookie and cream ",1,0.09
"cookie pebbles",1,0.09
"cookies and cream",1,0.09
"Cookies and Cream ",1,0.09
"Corn mash",1,0.09
"Cotton Candy",1,0.09
"Cream",1,0.09
"Creeper",1,0.09
"Critical Mass",1,0.09
"Critical Mass CBD",1,0.09
"Crystal Coma",1,0.09
"Cush",1,0.09
"Dakini Kush",1,0.09
"Dank sinatra",1,0.09
"Dank Sinatra",1,0.09
"Dark Matter",1,0.09
"Dead Head OG",1,0.09
"Death",1,0.09
"Deep Chunkolate",1,0.09
"die hard",1,0.09
"Diesel Dough ",1,0.09
"Do-si-does",1,0.09
"Do Si Dos",1,0.09
"Doc Holiday",1,0.09
