"response","count","percent_responded"
"1/4 ounce (~7 grams)",74,24.58
".5 grams or less",55,18.27
"2-3 grams",54,17.94
"8 grams -1/2 ounce (~ 14 grams)",41,13.62
"4-6 grams",37,12.29
"1 gram",30,9.97
"15 grams - 1 ounce (~28 grams)",8,2.66
"More than 1 ounce",2,0.66
