"","V1"
"q8_mean",NA
"q9_mean",NA
"q10_mean",NA
"q11_mean",NA
"q12_mean",NA
"q21_mean",3.61
"q33_mean",84.528
"q46_mean",17.431
"q53_mean",91.993
"q54_mean",62.736
