"","V1"
"q8_mean",5.07
"q9_mean",5.2
"q10_mean",2.807
"q11_mean",8.5
"q12_mean",2.852
"q21_mean",4.09
"q33_mean",102.155
"q46_mean",22.905
"q53_mean",72.629
"q54_mean",67.185
