"","V1"
"q8_mean",5.22
"q9_mean",5.24
"q10_mean",2.761
"q11_mean",8.39
"q12_mean",2.978
"q21_mean",2.44
"q33_mean",69.024
"q46_mean",23.175
"q53_mean",63.532
"q54_mean",64.452
