"response","count","percent_responded"
"THC Content",34,28.57
"Quality",31,26.05
"Favorite Strain",16,13.45
"Format (flower, vape, edibles, etc)",12,10.08
"Cost/Price",11,9.24
"Other cannabinoids and terpenes",9,7.56
"CBD Content",4,3.36
"THCa",2,1.68
