"response","count","percent_responded"
"Quality",50,26.74
"THC Content",46,24.6
"Favorite Strain",24,12.83
"Format (flower, vape, edibles, etc)",22,11.76
"Cost/Price",21,11.23
"Other cannabinoids and terpenes",13,6.95
"CBD Content",7,3.74
"THCa",3,1.6
"CBDa",1,0.53
