"response","count","percent_responded"
"Indica",17,2.07
"Sour Diesel",17,2.07
"Blue Dream",15,1.82
"Sativa",13,1.58
"Bruce Banner",11,1.34
"Gorilla glue",10,1.22
"Sour diesel",10,1.22
"Blue dream",8,0.97
"GG#4",7,0.85
"GG4",7,0.85
"blue dream",6,0.73
"Trainwreck",6,0.73
"CBD",5,0.61
"Gg4",5,0.61
"Blue dream ",4,0.49
"Cannatonic",4,0.49
"Chocolope",4,0.49
"Double Black Domina",4,0.49
"GDP",4,0.49
"Girl Scout Cookies",4,0.49
"Granddaddy Purple",4,0.49
"Green crack",4,0.49
"Jack Herer",4,0.49
"Kush",4,0.49
"Lemon Jeffery",4,0.49
"Lemon Jeffrey",4,0.49
"Northern Lights",4,0.49
"Pineapple Express",4,0.49
"Sour diesel ",4,0.49
"Sweet tooth",4,0.49
"Sweet Tooth",4,0.49
"ACDC",3,0.36
"Bio diesel",3,0.36
"Blue dreams",3,0.36
"Blueberry",3,0.36
"Bubba Kush",3,0.36
"Buddha's Sister",3,0.36
"Chem Dawg",3,0.36
"Chemdawg",3,0.36
"Critical mass",3,0.36
"Domnesia",3,0.36
"Durban Poison",3,0.36
"Gorilla Glue",3,0.36
"Gorilla Glue #4",3,0.36
"Grape God",3,0.36
"GSC",3,0.36
"Harlequin",3,0.36
"indica",3,0.36
"Lemon Jeffrey ",3,0.36
"Lemon meringue",3,0.36
"Meltdown",3,0.36
"Mimosa",3,0.36
"Mr. Clean",3,0.36
"Northern lights",3,0.36
"Skywalker Kush",3,0.36
"Sour Tangie",3,0.36
"Tangerine Haze",3,0.36
"Tangie",3,0.36
"?",2,0.24
"24K",2,0.24
"AC/DC",2,0.24
"Acdc",2,0.24
"Afghan",2,0.24
"Black Triangle Kush",2,0.24
"Blissful Wizard",2,0.24
"Blue OG",2,0.24
"Buddha’s Sister",2,0.24
"C99",2,0.24
"Cheese",2,0.24
"Chocolate Oranges",2,0.24
"Cinderella 99",2,0.24
"Clemintine",2,0.24
"Cookie Pebbles",2,0.24
"Cookies and cream ",2,0.24
"Don’t know",2,0.24
"dont know",2,0.24
"Facewreck",2,0.24
"Flo",2,0.24
"Flo OG",2,0.24
"gg",2,0.24
"GG",2,0.24
"Ghost Train Haze",2,0.24
"Girl Scout Cookie",2,0.24
"girl scout cookies",2,0.24
"Girl Scout cookies ",2,0.24
"Golden Goat",2,0.24
"Granddaddy purple",2,0.24
"Grape god",2,0.24
"Hawaiian Spice",2,0.24
"Headband",2,0.24
"Highwayman",2,0.24
"Indica ",2,0.24
"Jack herer",2,0.24
"Jack Pine",2,0.24
"Katsu Bubba Kush",2,0.24
"Lambs bread",2,0.24
"Las Vegas Bubba Kush",2,0.24
"Lemon ",2,0.24
"lemon meringue",2,0.24
"lemon skunk",2,0.24
"Lemon Skunk",2,0.24
"Meltdown ",2,0.24
"Moonrise",2,0.24
"N/a",2,0.24
"na",2,0.24
"Night nurse",2,0.24
"Night Nurse",2,0.24
"Northern lights ",2,0.24
"Not sure",2,0.24
"Og kush",2,0.24
"OG Kush",2,0.24
"Peach Puree",2,0.24
"Purple haze",2,0.24
"Purple kush",2,0.24
"sativa",2,0.24
"sour diesel",2,0.24
"Star 91 #8",2,0.24
"Strawberry Fields",2,0.24
"Strawberry Pebbles",2,0.24
"Super Lemon Haze",2,0.24
" Grape God",1,0.12
" Northern Lights",1,0.12
".",1,0.12
"? I don’t know much about strains",1,0.12
"? Use 3/4 CBD to 1/4 THC ",1,0.12
"1",1,0.12
"1 to 1",1,0.12
"1:01",1,0.12
"24k",1,0.12
"3D (sativa)",1,0.12
"707 truthband",1,0.12
"9 Lb Hammer",1,0.12
"9lb hammer",1,0.12
"AC DC",1,0.12
"ac/dc",1,0.12
"Acapulco Gold",1,0.12
"AJ Sour Diesel",1,0.12
"Alaskan Thunder Fuck ",1,0.12
"All",1,0.12
"Amnesia Lemon",1,0.12
"any hybrid",1,0.12
"Any Indica",1,0.12
"Any indica higher thc %",1,0.12
"any kush",1,0.12
"any, really doesn't matter to me which",1,0.12
