"","V1"
"q8_mean",5.68
"q9_mean",5.63
"q10_mean",3.157
"q11_mean",8.67
"q12_mean",3.02
"q21_mean",3.83
"q33_mean",98.95
"q46_mean",20.134
"q53_mean",80.959
"q54_mean",64.804
