"","V1"
"q8_mean",5.95
"q9_mean",5.89
"q10_mean",3.602
"q11_mean",8.79
"q12_mean",3.161
"q21_mean",4.92
"q33_mean",100.261
"q46_mean",20.266
"q53_mean",84.583
"q54_mean",66.535
