"","V1"
"q8_mean",5.45
"q9_mean",5.73
"q10_mean",3
"q11_mean",8.18
"q12_mean",1.909
"q21_mean",3.61
"q33_mean",58.697
"q46_mean",21
"q53_mean",101.97
"q54_mean",87.515
