"response","count","percent_responded"
"Less than 1/4 of a vape cartridge",46,37.1
"Between 1/4 and a 1/2 of a vape cartridge",23,18.55
"1 vape cartridge",15,12.1
"1/2 - 1 vape cartridge",14,11.29
"1.5 - 2 vape cartridges",10,8.06
"More than 2 vape cartridges",9,7.26
"1 - 1.5 vape cartridges",7,5.65
