"","V1"
"q8_mean",5.77
"q9_mean",5.75
"q10_mean",3.378
"q11_mean",8.73
"q12_mean",3.065
"q21_mean",5
"q33_mean",118.677
"q46_mean",21.493
"q53_mean",90.313
"q54_mean",69.166
