"","V1"
"q8_mean",6.33
"q9_mean",6
"q10_mean",3.667
"q11_mean",8
"q12_mean",3.833
"q21_mean",6.25
"q33_mean",49.688
"q46_mean",29.312
"q53_mean",99.062
"q54_mean",67.625
