"response","count","percent_responded"
"Less than 1/4 of a vape cartridge",99,43.81
"Between 1/4 and a 1/2 of a vape cartridge",44,19.47
"1 vape cartridge",28,12.39
"1/2 - 1 vape cartridge",25,11.06
"1.5 - 2 vape cartridges",13,5.75
"More than 2 vape cartridges",9,3.98
"1 - 1.5 vape cartridges",8,3.54
