"""Which of the websites/apps is your primary source of information? (Please select one)""",,
,,
response,count,percent_all
Leafly,106,57.92%
None,57,31.15%
Weedmaps,7,3.83%
Allbud,6,3.28%
The Cannabist,4,2.19%
Medical Jane,3,1.64%
