"response","count","percent_responded"
"THC Content",39,22.94
"Quality",34,20
"Cost/Price",31,18.24
"CBD Content",26,15.29
"Format (flower, vape, edibles, etc)",15,8.82
"Other cannabinoids and terpenes",12,7.06
"Favorite Strain",9,5.29
"THCa",3,1.76
"CBDa",1,0.59
