"response","count","percent_responded"
"THC Content",51,30
"Quality",36,21.18
"Cost/Price",26,15.29
"Format (flower, vape, edibles, etc)",19,11.18
"CBD Content",16,9.41
"Favorite Strain",15,8.82
"Other cannabinoids and terpenes",6,3.53
"THCa",1,0.59
