"response","count","percent_responded"
"1/4 gram or less",8,25
"1  gram",8,25
"1/4 ounce (~7 grams)",4,12.5
"2-3 grams",3,9.38
"8 grams to 1/2 ounce (~14 grams)",3,9.38
"1/2 gram",2,6.25
"4-6 grams",2,6.25
"15 grams to 1 ounce (~28 grams)",1,3.12
"I don't know how much I use per week",1,3.12
