"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10988913967,"THC Content","Quality","Cost/Price"
10860732079,"THC Content","CBD Content","Quality"
10614924685,"Quality","Other cannabinoids and terpenes","Cost/Price"
10603607110,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
10597433235,"CBD Content","THC Content",""
10596889129,"THC Content","Cost/Price","Quality"
10596325481,"Quality","CBD Content","THC Content"
10553098999,"THC Content","Quality","Cost/Price"
10527406782,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10525282146,"THC Content","Cost/Price","Quality"
10521362802,"THC Content","CBD Content","Cost/Price"
10494159100,"Format (flower, vape, edibles, etc)","Favorite Strain","THC Content"
10487495934,"Format (flower, vape, edibles, etc)","Favorite Strain","Cost/Price"
10471159357,"Quality","Cost/Price","THCa"
10470869221,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10459656588,"Quality","THC Content","CBDa"
10421900482,"Favorite Strain","THC Content","Other cannabinoids and terpenes"
10379032541,"Cost/Price","Quality","Favorite Strain"
10376051125,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10368748891,"Favorite Strain","Cost/Price","THC Content"
10366669189,"Quality","Cost/Price","Favorite Strain"
10360662743,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10360328144,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10360076082,"Favorite Strain","Quality","Cost/Price"
10359785451,"Format (flower, vape, edibles, etc)","Format (flower, vape, edibles, etc)","Favorite Strain"
10356775054,"Quality","Favorite Strain","CBD Content"
10351077835,"Favorite Strain","Cost/Price",""
10340437345,"THC Content","Quality","Favorite Strain"
10340102889,"Quality","Cost/Price","CBD Content"
10339036137,"THC Content","Quality","Favorite Strain"
10338442514,"Other cannabinoids and terpenes","THC Content","Quality"
10338441893,"THC Content","CBD Content","Other cannabinoids and terpenes"
10337906655,"Quality","CBD Content","Cost/Price"
10335783703,"THC Content","Cost/Price","Quality"
10332551377,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10330190159,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10318021604,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10300758304,"THC Content","Cost/Price","Favorite Strain"
10300130942,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10241028492,"THCa","Cost/Price","Quality"
10238390086,"THC Content","Favorite Strain","Cost/Price"
10238232961,"Quality","Favorite Strain","THC Content"
10236170245,"Quality","Cost/Price","THC Content"
10225303971,"Quality","THC Content","Favorite Strain"
10225277102,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10208039150,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
10206158915,"THC Content","Quality","Other cannabinoids and terpenes"
10204019952,"THC Content","CBD Content","Cost/Price"
10193047314,"Cost/Price","Quality","CBD Content"
10192314833,"Favorite Strain","THC Content","Other cannabinoids and terpenes"
10192273195,"THC Content","Other cannabinoids and terpenes","Quality"
10190947944,"THC Content","Quality","Favorite Strain"
10190929558,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10190798612,"THC Content","CBD Content","THCa"
10190502049,"THC Content","Quality","Cost/Price"
10187400493,"THC Content","Cost/Price","Favorite Strain"
10183941925,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10178582148,"THC Content","Quality","Cost/Price"
10177882021,"THC Content","THCa","Quality"
10175116751,"Quality","Cost/Price","THC Content"
10173030904,"THC Content","CBD Content","Favorite Strain"
10168762235,"Quality","THC Content","Cost/Price"
10168579625,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10162152137,"Quality","THC Content","Cost/Price"
10160861863,"Cost/Price","THC Content","Favorite Strain"
10160778447,"Cost/Price","Favorite Strain","Format (flower, vape, edibles, etc)"
10160775776,"THC Content","THCa","Quality"
10160774983,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10160658776,"CBD Content","THC Content","Quality"
10156608527,"Cost/Price","Format (flower, vape, edibles, etc)","Favorite Strain"
10156409238,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10155135154,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10152004658,"THC Content","CBD Content","Other cannabinoids and terpenes"
10151477305,"Favorite Strain","Quality","Cost/Price"
10149753475,"THC Content","CBD Content","Cost/Price"
10149081801,"Quality","THC Content","CBD Content"
10146426516,"Favorite Strain","Cost/Price","THC Content"
10145747234,"THC Content","Cost/Price","Favorite Strain"
10145424074,"Format (flower, vape, edibles, etc)","Quality","Favorite Strain"
10144891173,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10144784012,"THC Content","Quality","Cost/Price"
10144770514,"Other cannabinoids and terpenes","Quality","Format (flower, vape, edibles, etc)"
10144770172,"Quality","THCa","CBDa"
10144282577,"Quality","THC Content","Cost/Price"
10144213927,"THC Content","Quality","Favorite Strain"
10143349304,"THC Content","Cost/Price","Quality"
10142838154,"Quality","THC Content","Cost/Price"
10140779099,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10140405521,"CBD Content","CBDa","CBD Content"
10140382066,"Favorite Strain","THC Content","Cost/Price"
10140213419,"Quality","THC Content","Cost/Price"
10139319216,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10138871167,"THC Content","Cost/Price","THC Content"
10138808762,"Quality","",""
10137284368,"THC Content","Cost/Price","Quality"
10137155410,"Favorite Strain","CBD Content","Cost/Price"
10136579466,"THC Content","CBD Content","Cost/Price"
10136259591,"CBD Content","CBDa","THC Content"
10136235108,"THC Content","CBD Content","Quality"
10136214824,"THC Content","THC Content",""
10136212598,"THCa","THC Content","Format (flower, vape, edibles, etc)"
10136195035,"Cost/Price","Quality","Favorite Strain"
10135403063,"CBD Content","THC Content","Favorite Strain"
10135096772,"Quality","THC Content","Other cannabinoids and terpenes"
10135082388,"THC Content","CBD Content","Cost/Price"
10134739613,"CBD Content","Cost/Price","Format (flower, vape, edibles, etc)"
10134588691,"THC Content","Quality","Cost/Price"
10134411276,"Quality","THC Content","Cost/Price"
10134364223,"Quality","THC Content","Other cannabinoids and terpenes"
10133446775,"THC Content","Cost/Price","Favorite Strain"
10132781587,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
10132690458,"THC Content","THCa","Quality"
10132240865,"THC Content","Quality","Cost/Price"
10131433413,"THC Content","CBD Content","Quality"
10131415209,"THC Content","Other cannabinoids and terpenes","Favorite Strain"
10127602494,"Quality","CBD Content","Cost/Price"
10127598002,"Quality","THC Content","Favorite Strain"
10127478932,"THC Content","Quality","Cost/Price"
10127384240,"Other cannabinoids and terpenes","CBDa","CBD Content"
10127061448,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10126948907,"Quality","THC Content","CBD Content"
10126733978,"THC Content","Cost/Price","Quality"
10126035643,"Other cannabinoids and terpenes","Other cannabinoids and terpenes","Quality"
10125660446,"THC Content","CBD Content","Other cannabinoids and terpenes"
10125621638,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10125620500,"THC Content","THCa","Other cannabinoids and terpenes"
10125601130,"Quality","THC Content","Cost/Price"
10125116791,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10124391189,"THC Content","Favorite Strain","Quality"
10124134547,"THC Content","Quality","Cost/Price"
10124127866,"Cost/Price","Quality","Favorite Strain"
10123773788,"THC Content","Other cannabinoids and terpenes","Cost/Price"
10123639036,"CBD Content","Cost/Price","Favorite Strain"
10122920497,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10122842004,"THC Content","THC Content","CBD Content"
10122684600,"Favorite Strain","Format (flower, vape, edibles, etc)","Cost/Price"
10122408625,"THC Content","Other cannabinoids and terpenes","Quality"
10122324135,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
10122299806,"Quality","Cost/Price","THC Content"
10122286554,"Favorite Strain","THC Content","Cost/Price"
10122147592,"THC Content","CBDa","Cost/Price"
10118977465,"CBD Content","Cost/Price","Format (flower, vape, edibles, etc)"
