Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?",,,,,,,,,
,Response,Response,Response,Response,Response,Response,Response,,,,,,,,,
11250741921,5,5,3,2,4,5,4,,,8,4,4,1,3,8,6
11250528880,5,3,2,1,2,1,5,,,8,2,2,0,1,0,8
11249989922,1,1,1,2,1,2,1,,,0,0,0,1,0,2,0
11249911719,2,4,2,3,5,4,5,,,2,3,2,2,4,6,8
11249860217,3,1,1,3,2,1,2,,,4,0,0,2,1,0,2
11249421052,5,5,5,2,4,3,4,,,8,4,6,1,3,4,6
11239041530,1,1,2,1,2,1,1,,,0,0,2,0,1,0,0
11238685800,2,1,1,1,2,1,1,,,2,0,0,0,1,0,0
11238671751,4,4,1,2,4,2,2,,,6,3,0,1,3,2,2
11238558967,5,5,2,2,2,1,2,,,8,4,2,1,1,0,2
11236750096,5,4,1,2,1,2,2,,,8,3,0,1,0,2,2
11211717848,5,5,2,2,1,2,4,,,8,4,2,1,0,2,6
11164232720,3,2,1,1,1,2,3,,,4,1,0,0,0,2,4
11142252658,3,4,5,1,3,2,1,,,4,3,6,0,2,2,0
11141027225,2,2,2,2,1,1,2,,,2,1,2,1,0,0,2
11140569970,2,2,2,2,1,1,2,,,2,1,2,1,0,0,2
11136832253,4,5,2,2,2,4,5,,,6,4,2,1,1,6,8
11135778856,5,3,2,2,3,4,4,,,8,2,2,1,2,6,6
11135466512,2,2,1,1,1,1,2,,,2,1,0,0,0,0,2
11135389919,1,2,1,1,1,1,2,,,0,1,0,0,0,0,2
11135122023,3,2,1,1,1,1,3,,,4,1,0,0,0,0,4
11135087208,2,2,1,2,1,1,1,,,2,1,0,1,0,0,0
11135054557,4,3,3,2,2,1,5,,,6,2,4,1,1,0,8
11134932854,4,5,5,2,4,3,5,,,6,4,6,1,3,4,8
11134799419,5,3,1,2,3,2,4,,,8,2,0,1,2,2,6
11134769709,5,2,2,2,3,4,4,,,8,1,2,1,2,6,6
11134691787,5,3,1,2,2,2,3,,,8,2,0,1,1,2,4
11134536706,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0
11134508380,2,2,1,2,1,1,2,,,2,1,0,1,0,0,2
11134504342,2,3,2,2,2,1,3,,,2,2,2,1,1,0,4
11134478610,4,1,1,2,1,2,1,,,6,0,0,1,0,2,0
11134451924,3,2,1,1,1,1,2,,,4,1,0,0,0,0,2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,4,4,1,3,8,6,,0,Light,,,,,,,
8,2,2,0,1,0,8,,3,Light,,,,,,,
0,0,0,1,0,2,0,,3,Light,,,,,,,
2,3,2,2,4,6,8,,3,Light,,,,,,,
4,0,0,2,1,0,2,,3,Light,,,,,,,
8,4,6,1,3,4,6,,4,Light,,,,,,,
0,0,2,0,1,0,0,,5,Light,,,,,,,
2,0,0,0,1,0,0,,6,Light,,,,,,,
6,3,0,1,3,2,2,,7,Light,,,,,,,
8,4,2,1,1,0,2,,8,Light,,,,,,,
8,3,0,1,0,2,2,,8,Light,,,,,,,
8,4,2,1,0,2,6,,9,Light - Moderate,,,,,,,
4,1,0,0,0,2,4,,9,Light - Moderate,,,,,,,
4,3,6,0,2,2,0,,9,Light - Moderate,,,,,,,
2,1,2,1,0,0,2,,11,Light - Moderate,,,,,,,
2,1,2,1,0,0,2,,12,Light - Moderate,,,,,,,
6,4,2,1,1,6,8,,16,Light - Moderate,,,,,,,
8,2,2,1,2,6,6,,17,Moderate,,,,,,,
2,1,0,0,0,0,2,,17,Moderate,,,,,,,
0,1,0,0,0,0,2,,18,Moderate,,,,,,,
4,1,0,0,0,0,4,,18,Moderate,,,,,,,
2,1,0,1,0,0,0,,21,Moderate,,,,,,,
6,2,4,1,1,0,8,,21,Moderate,,,,,,,
6,4,6,1,3,4,8,,22,Moderate,,,,,,,
8,2,0,1,2,2,6,,23,Moderate,,,,,,,
8,1,2,1,2,6,6,,26,Moderate - Heavy,,,,,,,
8,2,0,1,1,2,4,,27,Moderate - Heavy,,,,,,,
0,0,0,0,0,0,0,,27,Moderate - Heavy,,,,Light,11,,0.34375
2,1,0,1,0,0,2,,28,Moderate - Heavy,,,,Light - Moderate,6,,0.1875
2,2,2,1,1,0,4,,32,Moderate - Heavy,,,,Moderate,8,,0.25
6,0,0,1,0,2,0,,32,Moderate - Heavy,,,,Moderate - Heavy,6,,0.1875
4,1,0,0,0,0,2,,34,Heavy,,,,Heavy,1,,0.03125
,,,,,,,,,,,,,,32,,
