"","V1"
"q8_mean",5.81
"q9_mean",5.77
"q10_mean",3.097
"q11_mean",9.19
"q12_mean",3.258
"q21_mean",3.71
"q33_mean",84.936
"q46_mean",21.013
"q53_mean",97.295
"q54_mean",76
