"response","count","percent_responded"
"1/4 ounce (~7 grams)",22,19.13
"2-3 grams",21,18.26
"8 grams to 1/2 ounce (~14 grams)",18,15.65
"4-6 grams",12,10.43
"1/4 gram or less",11,9.57
"15 grams to 1 ounce (~28 grams)",8,6.96
"1  gram",8,6.96
"More than 1 ounce",7,6.09
"I don't know how much I use per week",4,3.48
"1/2 gram",3,2.61
"None",1,0.87
