"","V1"
"q8_mean",6.57
"q9_mean",6.07
"q10_mean",3.786
"q11_mean",9.29
"q12_mean",3.429
"q21_mean",3.31
"q33_mean",65.875
"q46_mean",31.156
"q53_mean",96.594
"q54_mean",87.312
