"response","count","percent_responded"
"THC Content",203,31.67
"Quality",164,25.59
"Format (flower, vape, edibles, etc)",72,11.23
"Cost/Price",70,10.92
"Favorite Strain",48,7.49
"CBD Content",45,7.02
"Other cannabinoids and terpenes",24,3.74
"THCa",13,2.03
"CBDa",2,0.31
