"response","count","percent_responded"
"4-6 grams",11,23.91
"1/4 ounce (~7 grams)",9,19.57
"1 gram",8,17.39
".5 grams or less",6,13.04
"2-3 grams",6,13.04
"8 grams -1/2 ounce (~ 14 grams)",4,8.7
"15 grams - 1 ounce (~28 grams)",2,4.35
