"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11320679343,"","","","","","","","","","",""
11320098769,"","","","26 - 50 mg","","","","","","6-25 mg",""
11121905332,"","","","201 - 500 mg","","","","","","",""
10950506255,"","","","","","","","","","501 - 1000 mg",""
10937584160,"","","","6-25 mg","","","","","","",""
10677555646,"","","","","","","","","","",""
10633844023,"","","","5 mg or less","","","","","","",""
10631124791,"","","","","","","","","","",""
10627667913,"","","","","","","","","","",""
10621098231,"","","","5 mg or less","","","","","","",""
10617990640,"","","","1001 or more mg","","","","","","",""
10617106666,"","","","26 - 50 mg","","","","","","",""
10616000680,"","","","101 - 200 mg","","","","","","",""
10615475788,"","","","","","","","","","",""
10615382686,"","","","5 mg or less","","","","","","",""
10614765881,"","","","","","","","","","",""
10598611443,"","","","201 - 500 mg","","","","","","",""
10585127234,"","","","","","","","","","",""
10572726875,"","","","","","","","26 - 50 mg","","51 - 100 mg",""
10571082808,"","","","","","","","","","",""
10567487173,"","","","51 - 100 mg","","","","","","",""
10514133473,"","","","501 - 1000 mg","","","","","","",""
10492240590,"","","","5 mg or less","","","","","","",""
10468360710,"","","","","","","","","","",""
10463520639,"","","","5 mg or less","","","","","","",""
10427038209,"","","","6-25 mg","","","","","","",""
10416058133,"","","","","","","","","","5 mg or less",""
10384460168,"","","","26 - 50 mg","","","","","","",""
10372191516,"","","","26 - 50 mg","","","","","","",""
10353027281,"","","","","","","","","","",""
10351985976,"","","","","","","","5 mg or less","","",""
10323152506,"","","","","","","","","","",""
10312356549,"","","","26 - 50 mg","","","","","","",""
10311833804,"","","","26 - 50 mg","","","","","","",""
10308744405,"","","","","","","","","","",""
10304447243,"","","","26 - 50 mg","","","","","","6-25 mg",""
10304363791,"","","","","","","","","","",""
10291978182,"","","","","","","","","","",""
10288934828,"","","","6-25 mg","","","","","","",""
10285851934,"","","","101 - 200 mg","","","","","","",""
10282696179,"","","","51 - 100 mg","","","","","","",""
10281129055,"","","","6-25 mg","","","","","","",""
10280889006,"","","","6-25 mg","","","","","","",""
10278530046,"","","","","","","","","","",""
10273619577,"","","","","","","","","","",""
10270973993,"","","","","","","","","","",""
10265063063,"","","","","","","","","","",""
10264278489,"","","","","","","","","","",""
10263513014,"","","","201 - 500 mg","","","","","","",""
10263390124,"","","","","","","","","","51 - 100 mg",""
10260573889,"","","","51 - 100 mg","","","","","","",""
10260504037,"","","","26 - 50 mg","","","","","","",""
10260087945,"","","","501 - 1000 mg","","","","","","",""
10253880384,"","","","","","","","","","",""
10248976030,"","","","","","","","","","6-25 mg",""
