"","V1"
"q8_mean",6.12
"q9_mean",6.09
"q10_mean",3.176
"q11_mean",8.76
"q12_mean",3.176
"q21_mean",4.91
"q33_mean",115.46
"q46_mean",21.069
"q53_mean",68.782
"q54_mean",72.724
